employee_id,BusinessTravel,DistanceFromHome,JobInvolvement,EnvironmentSatisfaction,RelationshipSatisfaction
9446070,Travel_Rarely,18,3,4,1
8421373,Travel_Rarely,1,2,4,4
150215,Travel_Frequently,23,1,1,3
509961,Travel_Rarely,29,3,2,2
9491298,Travel_Frequently,2,3,1,3
7421117,Travel_Frequently,2,3,2,3
9532658,Travel_Rarely,9,3,2,1
1263379,Travel_Rarely,14,3,4,4
6906400,Travel_Rarely,1,2,4,2
3956585,Travel_Rarely,1,3,4,1
5102243,Travel_Rarely,4,2,3,1
6468738,Travel_Frequently,3,3,3,3
2131678,Travel_Rarely,1,2,1,4
4015620,Travel_Rarely,17,2,4,2
1600282,Non-Travel,16,3,3,3
3096533,Travel_Rarely,14,3,2,3
1648577,Travel_Frequently,2,2,4,2
9361443,Travel_Rarely,2,3,2,4
7834475,Travel_Rarely,18,1,2,3
6664337,Travel_Rarely,2,4,4,2
2323453,Travel_Frequently,18,3,4,3
8546174,Travel_Rarely,3,4,3,1
4324324,Travel_Rarely,17,2,2,1
8326903,Travel_Rarely,1,3,4,1
5930683,Travel_Rarely,10,3,3,4
3575870,Travel_Rarely,8,3,2,1
7261601,Non-Travel,26,2,1,3
2162265,Travel_Rarely,5,4,1,4
2616899,Travel_Rarely,24,3,1,1
3120403,Travel_Rarely,2,2,2,4
2343749,Travel_Rarely,5,2,2,3
7536967,Travel_Frequently,23,4,3,3
6476556,Travel_Rarely,8,2,2,4
7016582,Travel_Frequently,7,1,1,4
1008722,Travel_Rarely,4,3,4,4
3141701,Travel_Rarely,1,2,4,3
2586855,Non-Travel,28,1,3,3
2315817,Travel_Rarely,9,3,3,3
8043484,Travel_Frequently,8,2,4,3
6558822,Non-Travel,8,3,1,4
9632950,Travel_Rarely,3,2,3,4
8452255,Non-Travel,4,2,1,4
6090909,Travel_Rarely,7,3,4,1
2261532,Travel_Rarely,21,3,1,3
1982802,Travel_Rarely,1,4,1,3
4310805,Travel_Rarely,2,3,3,3
2792026,Travel_Rarely,11,3,3,1
7905610,Travel_Rarely,28,2,4,3
9632909,Travel_Rarely,17,3,3,3
4004001,Travel_Rarely,20,4,3,4
1568259,Travel_Rarely,3,3,3,4
6901718,Travel_Rarely,2,3,3,2
1099387,Non-Travel,1,3,3,4
4061428,Travel_Rarely,3,3,3,4
9696114,Travel_Rarely,2,3,4,3
1397052,Non-Travel,26,3,3,1
6599164,Travel_Rarely,7,3,1,3
4300611,Travel_Frequently,1,3,2,4
8757540,Travel_Rarely,5,2,4,2
4065317,Travel_Rarely,6,2,1,4
6524823,Travel_Frequently,8,3,2,2
3658790,Travel_Rarely,13,2,1,4
1402004,Travel_Rarely,25,3,1,3
6463373,Non-Travel,19,3,4,1
2842095,Travel_Rarely,20,3,2,4
1107914,Travel_Rarely,9,3,1,4
5562500,Non-Travel,5,2,1,1
3283495,Travel_Rarely,16,3,4,2
2575734,Travel_Rarely,2,3,4,3
3504835,Non-Travel,1,3,4,2
8304043,Travel_Rarely,2,2,4,3
9209998,Travel_Rarely,7,3,2,2
8320016,Travel_Rarely,10,3,2,1
5792544,Travel_Rarely,3,2,1,3
6664677,Travel_Rarely,6,3,3,1
6412850,Non-Travel,10,3,4,3
8801674,Travel_Rarely,24,1,3,2
2627497,Travel_Rarely,2,3,4,2
7804007,Travel_Rarely,17,3,3,4
9351917,Travel_Frequently,10,3,1,2
5994468,Travel_Rarely,4,3,3,4
3599101,Travel_Rarely,9,2,2,1
5325672,Non-Travel,19,3,1,4
969779,Travel_Rarely,29,1,2,1
6006595,Travel_Rarely,4,3,2,3
5886205,Travel_Frequently,1,1,3,3
5948772,Travel_Rarely,8,3,3,3
4396654,Travel_Rarely,15,3,4,1
3885433,Travel_Rarely,1,4,2,4
6998906,Non-Travel,2,3,3,3
4106542,Travel_Rarely,10,3,3,2
6064843,Travel_Rarely,6,4,1,4
2812450,Travel_Rarely,2,3,2,3
9363935,Travel_Rarely,21,2,4,2
8406582,Travel_Rarely,10,2,4,1
4707999,Travel_Rarely,2,2,3,2
6427598,Travel_Rarely,1,2,4,2
7112615,Travel_Frequently,16,2,1,4
9855623,Travel_Rarely,15,3,1,2
8781553,Travel_Frequently,29,3,1,2
6368264,Travel_Rarely,1,3,2,1
1374100,Travel_Rarely,14,4,3,4
158092,Travel_Rarely,21,4,3,4
6982183,Travel_Frequently,9,3,1,3
6790008,Travel_Frequently,12,2,1,3
4183173,Travel_Rarely,1,2,2,3
4834114,Non-Travel,10,3,3,3
7485594,Travel_Frequently,6,4,3,1
7857277,Travel_Rarely,9,2,2,3
8080193,Travel_Rarely,1,1,1,4
8796445,Travel_Rarely,7,3,2,3
6535431,Travel_Rarely,28,2,4,2
4392819,Travel_Frequently,10,3,3,2
1178552,Travel_Rarely,1,3,4,2
6331310,Travel_Frequently,1,2,1,3
1244223,Travel_Frequently,26,3,2,1
7740540,Travel_Rarely,2,2,2,2
7776172,Non-Travel,1,2,3,4
1000757,Travel_Rarely,15,2,1,4
165926,Travel_Frequently,9,3,2,3
6319534,Travel_Rarely,7,2,3,4
3683184,Travel_Rarely,8,4,4,2
1346768,Travel_Rarely,5,3,4,4
8921666,Non-Travel,5,3,2,2
5358575,Travel_Frequently,1,2,3,3
5166298,Travel_Rarely,9,2,3,3
8516310,Travel_Frequently,3,3,4,3
9576884,Travel_Rarely,2,3,2,1
468323,Travel_Rarely,19,3,3,1
5846547,Travel_Rarely,6,4,3,1
6351470,Travel_Rarely,5,3,3,3
6330055,Travel_Rarely,27,3,3,4
6512885,Travel_Rarely,2,3,4,4
6988316,Travel_Rarely,2,3,1,4
7508403,Travel_Rarely,2,3,3,1
6290229,Travel_Rarely,8,3,3,3
9042924,Travel_Rarely,6,3,2,4
6318122,Travel_Frequently,8,2,3,3
4555945,Non-Travel,9,3,3,3
7275603,Travel_Rarely,2,2,4,3
2910798,Travel_Rarely,8,1,2,1
2918357,Travel_Frequently,2,3,4,3
3389547,Non-Travel,9,2,2,4
4312330,Travel_Rarely,10,3,3,2
782052,Travel_Rarely,14,2,3,4
2438072,Travel_Rarely,13,3,3,2
6290008,Travel_Rarely,1,2,2,3
7999942,Travel_Frequently,2,2,2,4
5419724,Travel_Frequently,29,2,3,2
2203566,Travel_Frequently,20,4,3,1
1798447,Travel_Frequently,29,3,4,4
6170422,Travel_Frequently,12,3,3,4
5128747,Travel_Rarely,11,2,4,1
3915786,Travel_Frequently,26,3,1,3
6099823,Travel_Rarely,6,3,4,2
8094483,Travel_Rarely,21,4,2,1
9036162,Travel_Rarely,9,3,1,2
6649986,Travel_Frequently,9,3,2,3
1821597,Travel_Rarely,13,3,2,3
3704622,Travel_Rarely,1,3,2,2
8264557,Travel_Rarely,27,4,4,3
8016584,Travel_Rarely,20,3,2,1
5138900,Non-Travel,22,3,3,1
8771157,Travel_Rarely,2,2,3,1
6995839,Travel_Rarely,1,3,3,4
7943718,Travel_Rarely,2,4,2,2
2001085,Travel_Rarely,16,3,2,2
1947089,Travel_Frequently,1,3,1,4
8771309,Travel_Rarely,5,2,3,4
4985316,Travel_Rarely,9,2,3,2
8274419,Travel_Rarely,1,2,3,2
3502587,Travel_Frequently,3,3,3,3
1541508,Travel_Rarely,23,2,2,2
201450,Travel_Rarely,1,1,4,3
1926079,Travel_Rarely,29,2,3,3
8096572,Travel_Rarely,17,2,4,3
6212256,Travel_Rarely,10,4,4,1
1239723,Travel_Frequently,4,2,3,2
9317983,Non-Travel,2,3,1,4
4783344,Non-Travel,4,3,4,4
6164282,Travel_Frequently,1,3,3,3
9500022,Travel_Frequently,14,3,3,1
5117520,Travel_Rarely,7,4,2,2
8168978,Non-Travel,5,2,3,4
8189431,Travel_Rarely,16,4,1,3
8557117,Travel_Rarely,1,3,1,2
5609375,Travel_Rarely,1,3,2,3
1823508,Travel_Frequently,18,3,3,4
4682883,Travel_Rarely,13,3,4,4
5683685,Travel_Rarely,3,3,3,4
851284,Non-Travel,8,4,1,1
5427884,Travel_Rarely,22,3,1,2
4957648,Non-Travel,10,3,4,4
9227257,Travel_Rarely,5,3,3,4
1114843,Travel_Frequently,15,2,4,3
3135913,Travel_Rarely,12,3,2,1
910898,Travel_Rarely,1,3,4,3
5292329,Travel_Frequently,25,3,2,3
682135,Travel_Rarely,1,2,1,2
1374749,Travel_Rarely,1,3,4,4
7268985,Travel_Frequently,3,4,4,2
7792110,Travel_Rarely,18,3,4,4
7780690,Travel_Frequently,10,2,2,3
4206305,Travel_Rarely,1,3,2,3
3771402,Travel_Rarely,2,2,3,2
6000207,Travel_Rarely,5,4,2,1
5849710,Travel_Rarely,1,4,2,4
2286096,Non-Travel,25,3,2,1
3523449,Travel_Frequently,16,1,2,2
8600205,Travel_Rarely,2,3,3,2
5330719,Travel_Rarely,20,3,3,2
8275819,Travel_Rarely,6,3,4,4
285899,Travel_Rarely,2,3,1,3
9178430,Travel_Rarely,1,4,1,1
3328617,Travel_Rarely,14,3,4,3
7570923,Travel_Rarely,9,1,2,3
8669946,Non-Travel,24,2,2,1
6487439,Travel_Rarely,9,3,3,3
6489003,Travel_Rarely,1,3,4,2
2852809,Travel_Rarely,3,2,4,3
4935065,Travel_Rarely,5,3,3,4
6321932,Travel_Rarely,8,3,1,4
61098,Travel_Frequently,1,3,2,4
6899136,Travel_Rarely,22,3,3,3
3175816,Travel_Rarely,9,3,1,4
8422305,Travel_Rarely,27,3,3,4
5296798,Travel_Rarely,3,3,1,4
8122945,Travel_Rarely,1,3,4,4
8986346,Travel_Rarely,28,3,4,2
2782540,Travel_Frequently,2,3,2,4
7219702,Travel_Rarely,7,3,2,2
8527906,Travel_Rarely,23,3,1,4
4955961,Travel_Frequently,15,2,4,4
7118215,Travel_Rarely,6,2,4,4
6642143,Travel_Rarely,4,3,4,1
8591334,Non-Travel,7,4,4,4
4469810,Travel_Rarely,22,1,4,3
4821223,Non-Travel,9,3,1,4
9701385,Non-Travel,10,2,1,2
7816264,Travel_Frequently,24,1,3,4
1391845,Travel_Frequently,11,3,2,3
1557424,Travel_Rarely,4,3,3,3
3177039,Travel_Rarely,8,4,2,1
9736015,Travel_Rarely,6,2,4,1
2521467,Travel_Rarely,2,3,3,3
2791356,Non-Travel,5,4,2,4
2029494,Travel_Rarely,3,3,3,1
7115863,Non-Travel,2,2,1,2
2604435,Travel_Rarely,5,3,4,2
2055847,Travel_Rarely,3,4,3,2
554300,Travel_Rarely,10,3,1,3
6566048,Travel_Frequently,5,4,1,1
4232187,Travel_Rarely,3,3,4,2
3401272,Travel_Rarely,2,2,3,2
1566275,Travel_Rarely,29,3,4,1
3870741,Travel_Rarely,7,2,3,3
8939818,Travel_Rarely,9,1,1,2
9739421,Travel_Rarely,8,2,3,4
3084272,Travel_Rarely,8,3,4,1
1230036,Travel_Frequently,11,3,2,1
7380352,Travel_Rarely,24,4,2,3
36047,Non-Travel,26,2,2,3
6426169,Travel_Rarely,29,3,3,3
7942449,Travel_Rarely,9,3,2,4
158103,Travel_Rarely,6,2,4,4
1347098,Travel_Rarely,13,2,2,2
1552564,Travel_Rarely,20,3,4,1
7486390,Travel_Frequently,12,3,3,2
5505237,Travel_Rarely,4,1,4,3
4679015,Travel_Rarely,1,3,1,1
892896,Travel_Frequently,7,4,4,4
5769550,Travel_Rarely,3,2,3,1
2081014,Non-Travel,1,2,4,3
186418,Travel_Rarely,9,3,4,2
736249,Travel_Rarely,12,3,2,2
1213465,Travel_Rarely,1,3,2,2
1971529,Travel_Rarely,11,3,4,3
605419,Travel_Frequently,4,3,3,2
7640396,Travel_Rarely,10,3,4,4
5399314,Travel_Frequently,2,4,3,4
6187809,Travel_Frequently,1,3,1,3
9287168,Travel_Rarely,17,4,4,3
1962754,Travel_Rarely,1,3,4,4
5156696,Travel_Rarely,3,3,4,3
7921986,Travel_Rarely,2,3,1,1
3212908,Travel_Frequently,6,2,1,4
1728852,Travel_Rarely,28,4,2,4
4138072,Travel_Rarely,1,4,4,2
891367,Non-Travel,16,1,4,2
7506544,Travel_Rarely,1,3,4,1
6475114,Travel_Frequently,3,3,1,3
1943063,Travel_Frequently,2,3,1,4
8356163,Travel_Rarely,2,3,4,1
3039721,Non-Travel,23,3,4,3
7649988,Travel_Rarely,8,3,3,4
6553073,Travel_Rarely,2,3,1,3
6369636,Travel_Rarely,1,3,1,3
5932946,Travel_Rarely,4,2,3,2
9979651,Travel_Rarely,7,3,4,2
6251902,Non-Travel,1,1,4,4
1764639,Non-Travel,10,3,3,2
387368,Travel_Rarely,7,3,4,2
8837448,Travel_Frequently,2,3,1,2
1861937,Travel_Rarely,20,3,3,3
9335767,Travel_Rarely,4,3,4,3
7319158,Travel_Frequently,9,3,4,3
8197309,Travel_Rarely,8,3,4,3
5669392,Travel_Rarely,4,2,1,3
2305936,Travel_Rarely,2,3,1,4
6099999,Travel_Frequently,28,4,4,2
4173606,Travel_Frequently,18,3,2,4
4605336,Travel_Rarely,9,3,4,3
7275990,Non-Travel,23,3,2,3
1412215,Travel_Rarely,29,3,3,2
2013949,Travel_Rarely,7,3,2,2
7546513,Travel_Rarely,11,3,2,2
5669114,Travel_Rarely,9,3,1,3
1845247,Travel_Rarely,10,3,4,4
6286270,Travel_Rarely,23,3,4,4
6944974,Travel_Rarely,19,3,4,2
6377117,Travel_Frequently,21,3,4,1
1855499,Travel_Rarely,4,2,3,1
7628943,Non-Travel,5,3,2,4
8527414,Non-Travel,9,3,1,3
1460760,Travel_Frequently,5,3,4,3
9676801,Travel_Rarely,9,3,2,4
5641451,Travel_Frequently,9,3,4,2
2794767,Travel_Rarely,1,3,4,4
2165209,Travel_Rarely,2,3,3,4
9586353,Travel_Frequently,1,3,4,4
1955890,Travel_Rarely,10,3,4,2
8786954,Non-Travel,1,3,4,2
7034502,Travel_Rarely,9,3,3,3
3906270,Travel_Rarely,10,2,4,4
5106803,Travel_Rarely,19,3,2,3
3019896,Travel_Rarely,5,3,2,3
5269299,Travel_Frequently,10,4,3,1
1565490,Travel_Rarely,28,3,4,4
7678253,Travel_Rarely,19,2,4,3
57075,Travel_Rarely,16,3,2,2
4663876,Travel_Frequently,1,4,4,4
3648771,Travel_Rarely,10,3,1,4
1428480,Travel_Rarely,29,3,2,4
1636949,Travel_Rarely,11,3,4,2
3980013,Travel_Rarely,1,2,4,4
1525846,Travel_Rarely,23,3,4,4
556827,Non-Travel,18,3,1,1
9402221,Travel_Rarely,10,3,3,1
2746735,Travel_Rarely,2,4,2,3
4046288,Travel_Rarely,6,4,3,3
2756010,Travel_Frequently,9,3,4,2
7050790,Travel_Rarely,2,3,3,4
2109277,Travel_Rarely,16,3,4,3
7480957,Travel_Rarely,22,1,4,3
9397811,Non-Travel,13,3,4,3
6998293,Travel_Rarely,2,3,2,3
5890839,Travel_Rarely,1,2,2,4
1497781,Travel_Rarely,2,4,3,2
664974,Travel_Frequently,2,3,2,2
1493930,Travel_Rarely,2,3,4,3
3323949,Travel_Frequently,25,3,4,1
2089495,Travel_Rarely,10,2,4,4
5556603,Travel_Rarely,2,2,3,2
1286629,Travel_Rarely,1,2,4,2
5643524,Travel_Rarely,7,2,1,4
3910534,Travel_Rarely,10,4,4,3
4853878,Travel_Rarely,4,3,4,4
114874,Travel_Rarely,1,3,4,3
2393045,Travel_Rarely,2,3,4,1
3600185,Travel_Rarely,27,3,4,2
8678686,Travel_Rarely,1,3,3,4
173093,Travel_Rarely,17,2,3,3
1584376,Non-Travel,10,3,2,4
211180,Travel_Rarely,2,4,1,2
8709179,Travel_Rarely,1,2,3,4
5011395,Non-Travel,9,2,4,4
8112504,Travel_Rarely,6,2,4,3
7849725,Travel_Rarely,26,3,1,2
9021504,Travel_Rarely,5,3,1,3
2632976,Travel_Rarely,3,2,4,1
3617121,Travel_Frequently,22,3,4,1
5845188,Travel_Rarely,19,3,4,3
8555887,Non-Travel,3,2,3,4
1544254,Travel_Rarely,3,3,1,1
9181029,Non-Travel,2,3,3,4
6303502,Travel_Frequently,11,3,4,4
5824515,Travel_Rarely,2,3,3,1
902204,Travel_Frequently,13,2,3,3
403500,Travel_Rarely,1,4,2,4
3330061,Non-Travel,2,3,2,3
7011851,Travel_Rarely,14,3,3,3
3354805,Non-Travel,3,2,3,4
5505732,Travel_Rarely,7,4,2,4
9480738,Non-Travel,4,3,2,2
9552751,Travel_Rarely,9,3,4,2
408111,Travel_Rarely,2,3,1,1
7450170,Travel_Rarely,1,1,3,4
4320313,Travel_Rarely,16,4,3,3
5730500,Travel_Frequently,24,2,4,2
9948082,Travel_Rarely,6,3,3,4
8587750,Travel_Rarely,7,3,4,1
6699419,Travel_Rarely,15,3,3,4
9816654,Travel_Rarely,18,2,3,3
1461580,Travel_Rarely,26,3,3,3
6497798,Travel_Rarely,5,2,3,2
7572586,Travel_Rarely,23,3,1,2
1843193,Travel_Rarely,3,1,3,2
8463570,Travel_Rarely,1,4,4,3
9467649,Travel_Rarely,9,4,3,1
7179468,Travel_Rarely,26,2,3,3
3143185,Travel_Rarely,6,2,3,3
9537384,Travel_Rarely,7,3,1,1
9801099,Travel_Rarely,10,3,4,4
3431298,Travel_Rarely,1,2,2,2
7152955,Travel_Rarely,9,2,4,1
1627341,Travel_Frequently,8,3,2,1
9858211,Travel_Rarely,2,3,4,3
9381147,Travel_Rarely,6,3,3,4
6062880,Travel_Rarely,4,3,2,4
721340,Travel_Frequently,5,3,4,2
6530273,Travel_Rarely,2,2,1,4
7707721,Travel_Rarely,3,3,2,4
4970161,Travel_Rarely,5,3,1,2
2681494,Travel_Rarely,10,2,4,3
2503031,Travel_Rarely,7,3,3,1
1620247,Travel_Rarely,16,3,3,2
8426238,Travel_Rarely,24,3,1,4
7464523,Travel_Rarely,8,1,2,4
4706942,Travel_Rarely,13,3,3,4
3666018,Travel_Rarely,9,3,3,2
6340738,Travel_Rarely,22,3,4,4
9923661,Travel_Rarely,4,2,3,3
4803152,Travel_Rarely,1,3,2,3
7297643,Travel_Rarely,2,3,4,3
6684486,Non-Travel,1,3,3,1
5876545,Travel_Frequently,4,3,2,1
6989606,Travel_Rarely,8,3,3,2
7669600,Non-Travel,16,3,3,3
4945203,Travel_Rarely,15,3,1,4
7854389,Travel_Rarely,5,3,1,2
2164449,Travel_Rarely,1,3,2,4
8919547,Travel_Frequently,28,2,1,1
7623864,Travel_Frequently,7,3,4,3
6677575,Travel_Frequently,2,2,4,2
5453888,Non-Travel,14,3,3,3
7291531,Travel_Rarely,7,3,1,4
8285824,Travel_Rarely,8,4,1,3
4165346,Travel_Rarely,15,3,2,1
6520712,Travel_Rarely,14,3,3,3
396830,Travel_Rarely,1,3,3,4
7320399,Travel_Frequently,25,2,3,3
8981235,Travel_Rarely,8,3,1,2
661805,Travel_Rarely,2,3,3,3
4084684,Travel_Rarely,2,1,3,3
3395885,Travel_Rarely,1,3,4,4
6951759,Travel_Rarely,5,2,4,4
3695535,Travel_Rarely,11,3,3,2
6582565,Travel_Rarely,16,3,4,3
2264548,Travel_Rarely,3,2,3,1
451578,Travel_Rarely,3,3,1,1
5187951,Travel_Rarely,25,2,3,3
5911363,Travel_Frequently,2,4,1,4
706856,Travel_Frequently,10,2,4,2
6095668,Travel_Rarely,22,3,4,4
782241,Travel_Rarely,9,3,1,4
1942472,Travel_Rarely,12,3,3,4
4044390,Travel_Frequently,11,3,2,3
9606947,Travel_Rarely,7,3,2,4
5885115,Travel_Rarely,4,3,1,1
1952774,Travel_Rarely,11,3,4,2
5654448,Travel_Rarely,14,3,1,4
4718349,Travel_Rarely,1,3,3,2
2057304,Travel_Rarely,6,3,3,4
6015458,Travel_Frequently,4,3,1,3
6044604,Travel_Rarely,2,3,4,2
188884,Travel_Frequently,3,3,1,3
9410824,Travel_Rarely,29,3,1,1
1451122,Travel_Rarely,8,3,3,4
8052684,Travel_Rarely,23,3,4,2
4103784,Travel_Rarely,21,4,2,3
9197033,Non-Travel,21,3,3,2
11815,Travel_Rarely,10,3,4,2
1582345,Travel_Frequently,1,3,4,2
1337842,Travel_Frequently,1,1,1,1
6770898,Travel_Rarely,23,2,2,4
9875709,Travel_Rarely,2,3,4,2
6973299,Travel_Rarely,8,3,1,1
5821045,Travel_Frequently,2,3,4,3
7609085,Travel_Rarely,3,3,4,2
5851213,Travel_Rarely,1,2,2,4
