,review,sentiment
10,"There are often badly-matched couples (in the general sense of the term) -in Huston's movies :""African Queen"" ""Heaven knows Mister Allison"" ""roots of Heaven"" ""Misfits"" ...""The Barbarian and the geisha"" (check the title) is another good example,so to speak.It seems that Japanese stuff was trendy at the time as such works as ""Sayonara"" "" the world of Suzie Wong"" and ""the teahouse of the August moon"" bear witness. Huston's effort might be the worst of this rather bad lot(with the exception of ""Susie "" maybe).John Wayne perfectly fits in Ford's world ,in Huston's he's like a bull in a china shop.His Japanese partner is totally bland.Even the dramatic scenes (cholera epidemic) do not save the movie from absolute boredom.<br /><br />Only those utterly enamoured of Huston's every work need to choose this ,among all his other great movies around.",negative
11,"Steve Martin has always had my respect for being a very funny comedian and a pretty good actor, and I loved ""Planes, Trains and Automobiles"" and ""Bowfinger"" --- but ""Bringing Down the House"" definately isn't one of Martin's funniest works, and it doesn't even seem as if it's trying to be, which is just plain sad...<br /><br />I don't know; maybe I didn't like this movie because of the fact that I rented it along with ""Harry Potter and the Chamber of Secrets"" and ""Phone Booth"", both of which are excellent films, or maybe it's because I'm used to so much better from Martin, or maybe it's just because I'm in a frickin' bad mood today...Regardless, this film just wasn't very funny or entertaining, and I never managed more than a smile or a weak chuckle at the film's gags, which is really a shame, since the previews of this comedy were SO promising! I was expecting ""Bringing Down the House"" to be an all-out comedy bash, and I certainly expected more slapstick comedy and inter-racial laughs from Martin. Instead, we're 'treated' to seeing Queen Latifah jiggle all over the screen, trying to do her best with her totally uninspired character. The funniest thing in this clunker is Eugene Levy, but even he doesn't get the screen-time he deserves.<br /><br />I would've really liked to enjoy ""Bringing Down the House"", but I didn't and I'd find it very difficult to recommend it to anyone but the most die-hard Steve Martin fans. Skip this one and rent ""Planes, Trains and Automobiles"" instead...<br /><br />You'll have a much better time.",negative
12,"Miss DeCarlo's starring debut has everything the writers could come up with -- from the Franco-Prussian War to the US Civil War, the great American West, San Francisco in its heyday, ballet, opera, vaudeville, stage coach bandits, and a Chinese junk. Just when you thought the plot couldn't get any screwier, it does. It's magnificent, taken tongue in cheek. DeCarlo's character (here called Anna Marie -- NOT Salome, that's the role she dances) is loosely based on the career of the notorious Lola Montez, who was the mistress of the King of Prussia and caused a revolution when he gave her the crown jewels. She did escape to the American west. There is a town in Arizona called ""Salome, Where She Danced,"" based on the historical fact that Lola Montez did dance the role of Salome there. StageCoach Cleve and the Russian nobleman who fall under her charms are not historically accurate, nor I assume is the Chinese wise man with the Scottish accent -- but it is one of my favorite all time camp classics and DeCarlo is breathtakingly beautiful throughout.",positive
13,"So, Todd Sheets once stated that he considers his 1993, shot-on-video Z-epic, Zombie Bloodbath to be his first feature film. Anyone who's ever seen a little beauty called Zombie Rampage knows exactly how untrue that statement is. I mean, what makes this one that much more superior? Well, then again, Zombie Rampage doesn't include that mullet guy, now does it? <br /><br />For one to comprehend exactly why Zombie Bloodbath is actually considered worth a damn, one must remember what the 90's were like for lovers of bad horror. A decade that all but said goodbye to B and Z-cinema as we knew it. Technological advances, awkward trends, and the internet would abolish the mysterious charms of the s.o.v.'s big-boxed golden years. And anything remotely resembling quality schlock was all too self-aware for it's own good, basically defeating the purpose. Luckily, not everyone changes with the times. Enter Zombie Bloodbath.<br /><br />And I guess this is the part where I explain the same exact premise from 500 other zombie flicks from the last 40 years. Alright, so, Some kind of accident at a nuclear plant infects everyone in sight, turning them into flesh-eating zombies, who go on a rampage, inflicting some of the most gruesome, yet humorous gore-scenes of the 90's. The first 20 minutes are cluttered with the most awkward-sounding conversations you could imagine. Conversations that let you know that this isn't just a low-budget zombie flick, this is a Z-grade disasterpiece, fella. plenty Hysterical, non-existent acting to go around, and that goes triple for Mr. Mullet. That guy is truly the highlight of the night.<br /><br />The fact that Todd Sheets seriously considers Zombie Bloodbath to be THAT superior to Zombie Rampage, amuses me to no end. I mean really, both are complete jokes on celluloid, but then again, so is Redneck Zombies, so, obviously Todd Sheets is in the company of awsomeness. By 1993, a movie this bad would no doubt, be a full-blast spoof, but Mr. Sheets stands his ground, giving us some good old fashion schlock, the way it was meant to be, unaware, clueless, and pointless. God bless Todd Sheets. For anyone seeking surprisingly worthwhile 90's B-Horror, Leif Jonker's Darkness should be at the top of your list. As for Zombie Bloodbath, if you're a gorehound who got bored sometime around 1990, then '93 would be the perfect time to pick up. 8/10",positive
14,"As a Mystery Science Theatre 3000 fan, I can withstand ANY motion picture that can be foisted upon me, but there is absolutely no reason for this.<br /><br />Rated ""Super Action"" in the Blockbuster Video section and given the dreaded ""Restricted Viewing Sticker"" I'm assuming these are the only methods that film maker (HA!) Robert Napton could use to get at least 4.50 from one unsuspecting person.<br /><br />Shame on you Robert Napton! Shame on you for exploiting these poor Mexican actors who you probably promised hopes for making it big in American cinema. You are a disgrace!<br /><br />There isn't one moment in this movie that holds the slightest bit of action. Did you use snot on these people? Oh, look, they're having a rave in a field! Like all 6 of them. And isn't that an Asian guy in the background? Why is it always daytime? Why did it take 1/2 of the movie to show anything.. and more importantly why did we watch the other 1/2?<br /><br />PS: You owe me 4.50.",negative
15,"The stage star Grace Hayes stars in this obscure little film. After years of being on the stage, she is going to visit a small college town to check up on her son who is being raised by his grandfather. The kid doesn't know who his mother is and when she sees him in a local malt shop, he's a boorish jerk. Part of the problem is that he is a college clown the other part is that he's really spoiled.<br /><br />Interestingly, it turns out that Mom is really quite wealthy and has been not only funding her son's life but is a hefty contributor to the college. So, she has the idea of forcing the young man to mature. She talks to the man who's raising Peter and has his allowance cut off completely--hoping he'll rise to the occasion. It also turns out that she puts the screws to the school because she thinks all these kids need to stop playing around and be more responsible.<br /><br />Now here's where it gets pretty dumb. To show that they know the value of hard work, she hires a bunch of them to sing and dance at the malt shop she just purchased. Talk about contrived!! What happens next is like a long and not particularly good talent show or perhaps a poor man's version of a Judy Garland/Mickey Rooney musical! I'd suggest the kids try to do something else to earn money...or perhaps sing and dance until people pay them to stop! I know I would pay them.<br /><br />Considering that the talent is far from talented, Peter is a bad actor and his change from lout to responsible adult is almost instantaneous, the whole thing is a bit hard to take. Not a very good film by any sane standard, this is an obscure film that should have stayed obscure! <br /><br />By the way, it is interesting that Ms. Hayes' son in the film, Peter, is actually her real life son. The only problem with that is that Peter Lind Hayes is a truly awful actor. He's not handsome enough to be a leading man and he comes off as either dull and uninteresting or downright obnoxious. In particular, all the stupid impressions he does are really bad and he has the charisma of the gelatin that you scrape off Spam. Despite this terrible performance, he did go on to have a reasonably successful acting career. Who would have believed it if you'd seen him in ZIS BOOM BAH--because here, he's about as welcome as the Bubonic Plague!!",negative
16,"Woeful and unnecessary sequel to a bonafide classic. An American Werewolf in London was, indisputably, a gem of a movie: humorous, demented, with just a dash of romance and so very, very British it made me want to stand up and sing God Save the Queen every time the movie ended. Then came this abomination. You know you are in real trouble when the leads are so utterly unlikeable you are glad when they are slaughtered, and actually start cheering for the lycanthropes. Tell you the truth, folks, I only got about half way through this CGIed travesty before losing the will to live and turning it off. Absolutely pitiful and a putrid waste of anyone's time.",negative
17,"This is a good film for 99% of the duration. I feel that the ending has occluded this film from higher acclaim.<br /><br />It is shot in a rather naive fashion. This is clearly done to create a more chilling feel to the film - a feeling of isolation becomes apparent very soon on due to this filming technique.<br /><br />The gruesome characters are very well acted and presented especially the 'nutcase' called Joe. However, the wholesome (normal) characters are a little too pathetic for my liking - granted, they are supposed to come across as pathetic but this is done a little OTT.<br /><br />The film starts slowly (and the naive camera work smacks of 'B' movie to start with) and very normally but you soon get a feel of the impending brutality that is about to occur. This is one of the most 'twisted' movies with respect to cold-hearted violence.<br /><br />After the abrupt and unbelievably lazy ending I was left feeling disappointed. I would have given the film a 9 if the ending was in keeping with the rest of the film but as it is it gets only a 7 on the strength of the 'eeriness' and nail-biting scenes earlier on in the film.<br /><br />Give it a watch and excuse the ending!",positive
18,"With the death of GEORGE NADER, on 4 February 2002, I thought of this most interesting program, which even though it had only a short run, was a tremendous idea with good story lines throughout. Generally unseen for over 40+ years it would be worth viewing again. The opening credits showed many differing images, one of which was a snippit of COLONEL JOHN PAUL STAPP, riding his famed rocket sled, at the point where he was often referred to as ""The Fastest Man Alive"".",positive
19,"This 1981 comedy still sparkles thanks to the combined efforts of writer/director Steve Gordon and stars Dudley Moore and John Gielgud. Sadly, Gordon, only in his early forties, died soon after completing this, his only feature film. It's an especially unfortunate loss since he shows a truly deft hand at character-driven farce that makes the whole film irresistible. It plays almost like a 1930's-style screwball comedy revamped for contemporary tastes. The plot centers on Arthur Bach, a drunken, diminutive millionaire playboy who is at risk of losing his $750 million inheritance if he doesn't marry the dowdy and boring Susan Johnson, an heiress handpicked by his old-money father and dotty grandmother. Of course, he doesn't love her and by chance, runs into Linda Marolla, a working-class waitress (and of course, aspiring actress) after she pilfers a Bergdorf Goodman tie for her father.<br /><br />The standard complications ensue but in a most endearing way with loads of alcohol-fueled slapstick executed with classic élan by Moore. That he makes such a spoiled character likable is a credit not only to his comic talents but to Gielgud's feisty, acidic turn as Hobson, Arthur's devoted but reality-grounded valet. It's the type of role he could play in his sleep, but Gielgud makes Hobson such a truly memorable character that his fate in the film brings a welcome injection of poignancy in the proceedings. In probably her most likable film role, Liza Minnelli hands the picture to her male co-stars by toning down her usual razzle-dazzle personality and making Linda quite genuine in motivation.<br /><br />A pre-""LA Law"" Jill Eikenberry plays Susan just at the right passive-aggressive note, while Barney Martin (Jerry's dad on ""Seinfeld"") steals all his scenes as Linda's slovenly father Ralph. The one fly in the ointment is veteran actress Geraldine Fitzgerald, who overdoes the eccentricities of the grandmother. And I have to admit that I still can't stand the very dated, overplayed Christopher Cross song that inevitably won the Oscar for that year's best song. Unfortunately, the 1997 DVD, certainly in need of remastering, has no extras worth noting except some photos and production notes.",positive
20,"A nicely paced romantic war story that should have got more exposure. The Czech pilot who played piano gives a mellow touch to the story. The flying footage may not have been enough for aviation buffs like myself, but then again, this really isn't an action movie. Though it does not have anything in common with the James Salter novel ""The Hunters"" that became the movie about Korean War F86 Sabre pilots, Dark Blue World had a similar feel but with more of a romantic element to it. Better in some ways than Battle of Britain in that it doesn't rely on big name actors. Suggest viewing this movie with some Czech beer and some Czech dumplings called kneldniky(sp).",positive
21,"The subject matter of this film is potentially depressing: a man about thirty, with no job, little education, three kids from a failed relationship, living in his parents' house, but with a dream of directing feature films. But about a half-hour into the movie you realize that Mark Borchardt has a bottomless supply of drive and ambition--it's just that it's all channeled into his need to direct movies, and nothing else will make him happy. The movie jumps all over the emotional spectrum, but in the end you come away feeling happy, because you've just gotten to know some wonderful people. Go to see this--you'll end up wishing it was longer.",positive
22,"This is such a great film! Never mind the low rating here. I really have no idea where that came from, they must be discussing a different film then. Because I absolutely loved it and found it to be a little hidden treasure. <br /><br />It's story was so original and charming.. I really can't think of anything bad to say about it. Maybe it has to be ''your type of thing'', but, I saw this with my sister and my mother, and we all were taken by it. <br /><br />The acting was also very good, and that is hard to do in a film like this. But I found all the characters very intriguing and sympathetic. <br /><br />I've always been very fond of Dougray Scott and found his new ''dark'' role very interesting. It is really awful hard to get me to like a bad guy, but I absolutely had no problem with that this time. Even more so, I adored him. <br /><br />Everyone who loves a good thriller/drama that also has a good dose of love and tragedy should definitely go see this film, no question about that! Anyone wanting to see a film with 80% bloodshed, should go rent something else, though.. But I guess the title already kind of gives that away. This is a love story, not Saw 3.<br /><br />I give this film 4 out of five stars!!! Good job!!!<br /><br />xxx Enjoy!",positive
23,"This effort is based on the true story of Jim Morris, a high school science teacher/baseball coach, who is inspired by his players to try out for the pros and fulfill his life-long dream of playing in the majors. Dennis Quaid, no stranger to sports films, plays Morris with enough conviction to make the part work and the producers do a credible job of recreating the real-world events that led to Morris brief stint as a relief pitcher for the woefull Tampa Bay Devil Rays. The first half of the film, dealing with his rag tag bunch of High School Baseball players (all of whom look way too old to actualy be in High School) is less effective and probably a bit too long. Overall the film does suffer from some pacing issues and a few extra subplots that we probably could have done without. However, it is still a fairly involving movie with an inspirational theme that proves once again that baseball is the national pastime for a reason. GRADE: B-",positive
24,"The movie never claims to be something spectacular like many films do. The films props itself as a fun and entertaining time. And that's exactly what it was. It is the Korean version of a male Bring It On.<br /><br />From the get go you can feel for the rest of the film and how it will end but the enjoyment is not in the surprise twists nor is it the way the film is a carbon copy of another. Instead, the enjoyment is held in the journey of how the 2 remaining ""thugs"" came to be men in their own right. Therefore, the film is fun and entertaining.<br /><br />The camera work, specially the dolly moves were very well executed. The script, being a tad weak, was overly enjoyable in the fact that the characters were not 2 dimensional but they were full of life and desire. This film will not win any Oscars, nor any DVD blockbuster sales, but a fun watch and a fun experience.",positive
25,This is speculation. This movie could of inspired Paramount Pictures to film the movie The Core. Both movies have something in common nature.The only improvement for Inferno is a better cast. Inferno's cast is still good though. Excellent movie 8 out of 10. This is worth watching. This movie does have truth to it heat waves are real. Another piece of truth is heat related power outages. Where I live i have actually heard transformers blow. Unrest from heat is possible because people seeking to cool off may get rowdy. There is a considerable amount of team work in this movie. Again this a movie worth watching. The movie has a good cast. The movie has no slow spots.,positive
26,"Luc Besson's first work is also his first foray in science fiction, a genre to which he will return fourteen years later with ""the Fifth Element"" (1997). Even if this film was strongly influenced by Hollywood cinema, it is still highly enjoyable. Back in 1983, ""le Dernier Combat"" reveals Besson's own approach of science fiction. He takes back a threadbare topic and his efforts are discernible to make a stylish work. Shot in widescreen and black and white, a disaster has destroyed virtually all the population from earth and we will never know what was this disaster and why men can't talk any more. Some barbarian hordes were formed. In parallel, a man (Pierre Jolivet) lives on his own and arrives in an unrecognizable Paris where he is received by a doctor (Jean Bouise).<br /><br />There are no words in Besson's work. The characters' actions and the progression of the events go through looks and gestures. Although the starting point and the backdrop are unnerving, the film has never the look of a despondent one. It seems that the man and the doctor try to reproduce gestures and actions linked to mankind before the disaster. The film opens with the man having sex with an inflatable doll. Later, the doctor tries to make him speak through a machine and he is a painter in his spare time. It's all the more intriguing as these paintings seem to come from the prehistoric times. Following this reasoning, one could argue that the bearded giant (Jean Reno) embodies evil and a threat to the efforts deployed by the man and the doctor to regain what finally made a human being. Ditto for the gang of baddies at the beginning of the film.<br /><br />The pessimistic whiff that such a film could convey isn't really at the fore and gives way to a glimmer of hope. Personally, the film could have gained with no music at all, except the one the man can hear with his cassette recorder. Luc Besson was to make better and still entrancing films like this one, he also boosted Pierre Jolivet's career as a director who will leave a patchy work behind him in the future: ""Force Majeure"" (1989), ""Simple Mortel"" (1991), ""ma Petite Entreprise"" (1999) or ""Filles Uniques"" (2003).",positive
27,"Love Jones is one of the best movies I've experienced. <br /><br />The main element that sticks out to me is the fact that it is very well-directed. I have studied this film in it's entirety - with watching movies more than once, certain things dawn on you subconsciously - the direction of this movie, as well as the writing, is chic, hip, and artful! I am in love with the direction. The scene where Larenz Tate and Nia Long are riding the motorcycle through north Chicago at night is astonishing. The director of this movie DESERVED awards for his great job.<br /><br />Love Jones is a classy and sexy film. It highlights the fact that we can be people who love, who have flaws, who love living, learning, and just being us without the hype. Being our Natural selves.<br /><br />The poetry is wonderful, but the story line, the dialog, and the scenes really make this movie.<br /><br />This movie deserves to be seen. It is a great movie for lovers and friends to sit back and watch, or, the hopeless romantic (like myself) to sit back and enjoy alone on a Friday or Saturday night. Any day of the week where peace, solitude, and a little entertainment is needed, Love Jones is what I recommend.",positive
28,"Turn your backs away or you're gonna get in big trouble out of MY BOYFRIEND'S BACK! Only a happy ending can bloom your innocence that is full of gloom and doom at the very moment you're watching this. It's safe to say that the entire movie falls apart, with a sarcastic approach and tribute to zombie shows that defy nonsense to the max. We get a name like ""Johnny"" every so often, and this ""Johnny"" has nowhere to go. There isn't a specific reason to why our ""dead corpse"" crawls out of his grave just to survive until prom night, so that renders the movie totally useless. Without a feeling of sorrow, his mother is convinced to tell the doctor that he's dead. Johnny takes a bite out of Eddie's arm afterwards. The viewer is asked a tough question: Why does the movie have to be this cornball? There is an answer. Any resemblance to all persons living or dead is purely coincidental. ""Living"" is a coincidence. ""Dead"" has nothing in common with the movie. Show this one to your girlfriend and she'll skip the senior prom, turning your life into a deserted ruin. Blah!!!",negative
29,"I'd have to say this is one of the best animated films I've ever seen. I liked it the first time but really appreciated it on the second viewing, just a few weeks ago. I can see why sequel is doing such great business at the box office. Apparently, a lot of people liked this movie.<br /><br />A gorgeous color palette (man, this looks good) and a lot of good adult (but clean) humor make this a big winner. The opening 3-4-minute scene with ""Scat,"" is excellent as are subsequent interludes with him. ""Sid"" the sloth (voiced by John Leguizano), however, provides the main humor in the movie. He usually has something funny to say throughout the movie.<br /><br />Ray Romano is the voice of the mammoth, the big character of the film, literally, while Denis Leary is the ferocious bad-guy-turned-good sabertooth tiger<br /><br />This isn't just humor and pretty colors but a nice, sentimental story of how a little baby softens up a couple of tough characters. This isn't interrupted with a lot of songs, either: one only brief one and there is nothing offensive, language-wise.<br /><br />If more animated movies were this good, I'd own more.",positive
30,"Hello, this little film is interesting especially for an artist, film-maker or music creator or a visual artist, for:<br /><br />One can feel and examine David's touch/style straight out of a short piece of relative simplicity.<br /><br />You can see the rhythmic spacing of the shots, the pans and the sound elements. <br /><br />Even as simple film, this creation is multy-layer. For example, there are some sounds that drone all along, while others appear (though subtle), at certain points to support certain shots.<br /><br />One can see also several types of pans: some go up and down in a gentle back-forth way. There is diagonal pan. Zooms also go back and forth sometimes.<br /><br />The lightning and the composition/disposition of elements in the space is, as usual and obviously, work of a painer/artist. This can be felt even in this crappy room. This is to say: one can make exquisite art already by the simple art of placing the look/view and composing the scene. Then comes the forcelines of the visuals: like digonales, parallels, etc. The light's degradées and the colours, although without too much research for textures as in big productions, are fine too. This is an artist's sketch of a sort...<br /><br />All this is not calculated but done with inner feeling and this feel gives the David's touch/feel to it, as with any true artist.",positive
31,"I have to congratulate the genius who approved this one. Edward Furlong, you're not as good as you think mate, you can't grab on every piece of low-cost amateur crap, which sole intention has to be to get some bucks.<br /><br />The filming is bad, and I mean BAD. Anyone with a camera would get the same result, or better.<br /><br />The acting, lets just say: don't go to the supermarket looking for actors. The good ones usually come with a degree or, at least, have some damn experience! The director.. Mr. Jon Keeyes, please find your purpose in life, as a director you simply suck. Your directing is poor, the angles are all messed up (not in a good way), the lines seem as if they're being read out of toilet paper, and the damn music.. it always comes up when it shouldn't and goes out for no apparent reason. And don't go for writer either, by the way. Making movies isn't like serving on a coffeshop, it requires art and skill, things I really doubt you'll ever have.<br /><br />Instead of making a badass shootout movie, you should've shot this one back to oblivion and wait 'till something good came up.. Or just go find a job on a coffeshop. You'll have less stress and you'll save movie goers some money and a bad night.<br /><br />vote: 1/10 (my first one)",negative
32,"Worse than mediocre thriller about an abused wife who goes on the lam after she is linked circumstantially to the death of her husband and sister. Determined to prove that her husband is alive she follows leads across the state, her peril increasing at each stop. Chasing after her are the traditional 'good-cop' and 'bad-cop' pair of partners. One is convinced of her innocence the other more interested in closing the case and getting home. This pair is often able to corner their suspect but never quite to capture her. All the main players meet up in a remote town in the desert and the truth begins to unfold with deadly consequences for some.<br /><br />Wow! This was a bad movie. The lead acted as if she was tranquilized, The cops couldn't find a suspect if he or she is in the police station (this happens twice) and everyone else is as one-dimensional as can be. Avoid this one at all costs.<br /><br />",negative
