date,section,lead_paragraph
2019-05-21 15:12:49+00:00,U.S.,See full results and maps from the Kentucky primaries.
2019-04-06 14:14:27+00:00,World,Election candidate signs in Israel
2019-08-29 18:13:04+00:00,World,"TUNIS — Tunisian Prime Minister Youssef Chahed, a candidate for president in next month's election, said on Thursday the country should press ahead with his government's focus on the economy and security if it is to ""join the club of strong democracy""."
2019-08-29 09:00:09+00:00,The Upshot,"There are two major theories about President Trump’s standing heading into his re-election campaign. Over the last few months, they have found backing from two very different kinds of polls. "
2019-06-18 23:00:05+00:00,Opinion,Political professionals are so focused on the micro-details of the 2020 elections that they miss the macro trends favoring President Trump as he kicks off his re-election campaign in Florida. They are looking at national and state polls when our “America First” president ought to be viewed in a global context.
2019-05-07 11:15:56+00:00,World,The decision by Turkish authorities to wipe away a stinging defeat for President Recep Tayyip Erdogan and rerun the election for mayor of Istanbul left the opposition angered but determined on Tuesday to win the race a second time.
2019-05-09 09:53:01+00:00,Opinion,"For more than two years, Democrats and their media friends have confidently insisted the U.S. economy under Donald Trump (a) would crash and burn; or (b) benefits only the few; or (c) was fake; or, failing all of that, was just (d) the lucky beneficiary of policies put into place under Barack Obama. "
2019-05-27 02:18:04+00:00,World,"MADRID — Spanish Socialists made important gains on Sunday in three different elections, strengthening the hand of Prime Minister Pedro Sánchez as he seeks to form a new government."
2019-05-27 21:30:08+00:00,World,ROME — Matteo Salvini basked in triumph on Monday after a thumping victory for his far-right League Party in this weekend’s European Parliament elections rendered him the dominant politician in Italy and the strongest claimant to the leadership of Europe’s populists.
2019-06-17 20:59:51+00:00,World,"Guatemala’s presidential election on Sunday produced no clear winner, and will head to a runoff in August between a former first lady of the country and a former prisons director."
2019-05-23 21:50:57+00:00,U.S.,"Hi. Welcome to On Politics, your guide to the day in national politics. I’m Lisa Lerer, your host."
2019-05-26 05:00:11+00:00,World,"BRUSSELS — With more than 400 million Europeans across the 28 countries of the European Union entitled to vote in the European Parliament elections that end on Sunday, the poll is, next to India, the largest democratic exercise in the world."
2019-02-12 22:47:17+00:00,World,"KABUL, Afghanistan — Afghanistan’s coalition government fired on Tuesday all the commissioners who directed fraud-tainted parliamentary elections last fall, as the country prepares for a presidential race this summer and watches, with its leaders on the sidelines, peace talks unfold between Americans and the Taliban."
2019-05-22 15:28:14+00:00,World,"Violence erupted in Jakarta, Indonesia, after it was announced that President Joko Widodo won re-election. Supporters of his opponent, Prabowo Subianto, accused election officials of fraud."
2019-05-29 15:09:47+00:00,World,"JERUSALEM — Prime Minister Benjamin Netanyahu suffered a stunning defeat on Thursday after he failed to meet a midnight deadline to form a new government, casting a cloud over his future as prime minister and thrusting Israel into the chaos of a new election."
2019-03-22 15:00:04+00:00,Opinion,"KHON KAEN, Thailand — On a recent afternoon, the horse tracks of this small northeastern town had the looks of an impromptu music concert for mostly older women, with large crowds packed around a makeshift stage near what seemed to be an unused racing lane. By my count, some 15,000 locals, many of them farmers with weathered skin, had gathered there for a rally of the Pheu Thai party, which calls for better health care, a higher minimum wage and subsidized agriculture prices. An heir to populist parties led by two former prime ministers who were deposed — Thaksin Shinawatra and his sister Yingluck — Pheu Thai is said to be the front-runner in Sunday’s general election, the first since the military coup of 2014. "
2019-04-05 14:14:44+00:00,Sports,"Soccer officials from one of FIFA’s largest confederations have gathered this week in Malaysia’s capital, Kuala Lumpur, to elect a president. The balloting will take place at the end of a long day of speeches, motions and reports, but at least the setting — the luxurious Shangri-La Hotel — promises to be comfortable."
2019-01-18 19:35:42+00:00,Opinion,To the Editor:
2019-08-01 13:09:22+00:00,World,"LONDON — In the first electoral test for Britain’s new prime minister,  the Conservatives lost a special election on Thursday, cutting Boris Johnson’s already slim working majority in Parliament to just one."
2019-08-30 12:00:05+00:00,U.S.,"Election polls have always been interesting. But this year, they have become official players in the Democratic presidential primary race, because polling badly means you don’t get to debate. "
2019-04-24 09:00:12+00:00,U.S.,"WASHINGTON — In the months before Kirstjen Nielsen was forced to resign, she tried to focus the White House on one of her highest priorities as homeland security secretary: preparing for new and different Russian forms of interference in the 2020 election."
2019-05-21 15:12:47+00:00,U.S.,See full results and maps from the Kentucky primaries.
2019-08-24 04:27:22+00:00,U.S.,"KEOKUK, Iowa — In a story Aug. 24 about presidential candidate Pete Buttigieg and religion, The Associated Press reported erroneously that Buttigieg's father was a former Roman Catholic priest. Buttigieg's father studied for the priesthood but was not ordained."
2019-05-24 07:38:26+00:00,World,"With Europe the most unsettled it’s been in decades, European Union nations began voting on Thursday for members of the bloc’s Parliament."
2019-05-28 08:00:00+00:00,The Learning Network,Before reading the article:
2019-06-07 20:13:37+00:00,U.S.,"WASHINGTON — A raft of legislation intended to better secure United States election systems after what the special counsel, Robert S. Mueller III, called a “sweeping and systematic” Russian attack in 2016 is running into a one-man roadblock in the form of the Senate majority leader, Mitch McConnell of Kentucky."
2019-08-27 19:27:41+00:00,U.S.,"After being forced into a runoff election, Tate Reeves, the lieutenant governor of Mississippi, became the Republican Party’s nominee for governor on Tuesday."
2019-04-25 21:04:06+00:00,World,"ISTANBUL — A last-ditch effort by President Recep Tayyip Erdogan’s governing party to annul the election for mayor of Istanbul has opened wide divisions in the party’s rank and file and with its nationalist allies, as even the president has come under unusual attack."
2019-05-21 07:00:07+00:00,World,"ABBEVILLE, France — For President Emmanuel Macron of France, it has been Europe or bust from the beginning."
2019-05-09 08:29:20+00:00,World,"BANGKOK — Thailand’s opposition Pheu Thai Party won the most seats in the country’s first election since a 2014 coup, but despite an alliance with other pro-democracy parties it likely will not be able to form a government because of rules that help the military."
2019-05-20 17:37:20+00:00,World,"KIEV, Ukraine — Minutes after taking office on Monday, Ukraine’s new president, Volodymyr Zelensky, announced a snap parliamentary election that he hopes will consolidate his power and help him deliver on campaign promises to end endemic corruption and a prolonged separatist conflict."
2019-03-09 01:21:45+00:00,Opinion,"Two of my children were born in socialist France. They survived. In fact, their births were great experiences: excellent medical care, wonderful postnatal follow-up, near-zero cost. My son’s bris, in a Paris deserted through the August exodus, was another story, but I won’t get into that."
2019-08-20 19:16:11+00:00,World,"GAROWE, Somalia — The southern Somali state of Jubbaland has blocked access to the capital city Kismayo and its main airport ahead of Thursday's vote to elect a president of the semi-autonomous region, a senior regional official said on Tuesday."
2019-03-26 23:20:42+00:00,Opinion,"CHARLOTTE, N.C. — Election meddling needn’t be a foreign power planting fictions on Facebook and courting the ragtag disciples of a real estate magnate."
2019-05-22 08:14:03+00:00,World,"On Thursday, India will announce the results of the world’s largest democratic exercise, after hundreds of millions of people voted over six weeks to select the country’s Parliament."
2019-05-21 15:12:50+00:00,U.S.,See full results and maps from the Pennsylvania special congressional election.
2019-06-27 22:50:43+00:00,Opinion,What did you think of the bunch of socialists you just saw debating on stage?
2019-08-18 22:06:34+00:00,World,WASHINGTON — U.S. President Donald Trump said on Sunday he would likely wait until after Israel's Sept. 17 elections to release a peace plan for the region that was designed by White House senior adviser Jared Kushner.
2019-04-06 14:14:33+00:00,World,JERUSALEM — History seemed to be closing in on Benjamin Netanyahu.
2019-05-06 17:05:08+00:00,World,"ISTANBUL — Turkey’s electoral authorities wiped away a crushing defeat for President Recep Tayyip Erdogan on Monday, ordering a rerun of the race for mayor of Istanbul won by the opposition and heightening the prospect of social unrest and a new economic crisis."
2019-05-19 07:05:58+00:00,World,"After 39 days of polling involving as many as 900 million voters, balloting in India’s vast parliamentary election came to a close on Sunday, starting a countdown to the announcement of final results on Thursday. "
2019-08-29 10:16:28+00:00,World,"KABUL, Afghanistan — On one track is the American negotiations with the Taliban over a troop withdrawal, possibly days away from a breakthrough. On the other is the Afghan presidential election, set for just a month from now."
2019-05-10 01:23:31+00:00,World,"The Australia Letter is a weekly newsletter from our Australia bureau. Sign up to get it by email. This week’s issue is written by Isabella Kwai, a reporter with the bureau."
2019-05-03 08:49:36+00:00,World,"LONDON — For months, there has been little doubt that the British electorate is disgusted, disillusioned and furious with the political dysfunction and the chaos of Brexit. But there hadn’t been an outlet for the public to vent that anger — until now."
2019-05-20 19:09:47+00:00,World,"MEDAN, Indonesia — President Joko Widodo of Indonesia has succeeded in his bid for re-election, according to a full vote count released by the country’s election commission on Tuesday, in a repudiation of the nationalist and faith politics that have brought strongmen to power across the globe."
2019-05-17 06:21:17+00:00,World,"SYDNEY, Australia — Just a few days ago, Bob Hawke, Australia’s popular former prime minister, released an open letter praising his party’s current leader, Bill Shorten, for campaigning on a bold policy agenda, not a “small target.”"
2019-05-18 10:09:56+00:00,World,"BOGAKHALI, India — Riya Mondal could not stop crying. Standing in front of the burned-out shell of her family’s home and adjacent appliance repair shop, she pointed to the blackened cage that once held her two beloved parrots."
2019-05-30 08:13:54+00:00,Opinion,"TEL AVIV — In early April, Benjamin Netanyahu won an election that was supposed to send him to an unprecedented 11th consecutive year as Israel’s prime minister. There was only one small obstacle in his way: forming a government."
2019-04-08 22:31:46+00:00,World,"Israel has been in the grip of a pivotal election, with voters torn between Prime Minister Benjamin Netanyahu and Benny Gantz, a former army chief."
2019-07-30 18:37:17+00:00,U.S.,"WASHINGTON — Senator Mitch McConnell is usually impervious to criticism, even celebrating the nasty nicknames critics bestow on him. But Mr. McConnell, the Senate majority leader, is incensed by the name “Moscow Mitch,” and even more miffed that he has been called a “Russian asset” by critics who accuse him of single-handedly blocking stronger election security measures after Russia’s interference in 2016."
2019-06-25 15:00:55+00:00,U.S.,"WASHINGTON — Senator Elizabeth Warren of Massachusetts on Tuesday released a far-reaching plan that would create new standards for how federal elections are carried out across the country, part of an effort to protect voting rights and make it easier for Americans to vote."
2019-04-29 16:04:10+00:00,World,"MADRID — Before Sunday’s election in Spain, politicians had exchanged dire warnings over whether the country would break apart if the left won, or return to the dark days of Franco’s authoritarianism if the right did."
2019-08-28 19:33:53+00:00,World,JERUSALEM — Prime Minister Benjamin Netanyahu said on Wednesday he expects the United States will release its long-delayed Israeli-Palestinian peace plan shortly after Israel's Sept 17 election.
2019-04-09 16:49:45+00:00,World,"Over the last decade, Prime Minister Benjamin Netanyahu of Israel has repeatedly quashed rivals on the left and the right, defying the odds — and the polls — to hold onto power. He has increasingly relied on right-wing partners to do so."
2019-07-30 19:28:05+00:00,U.S.,"LOS ANGELES — President Trump will not be eligible for California’s primary ballot unless he releases his tax returns, under a new law signed by Gov. Gavin Newsom on Tuesday."
2019-06-21 20:34:33+00:00,World,"Summer is officially here. Along with the swimming, cycling, paddling, boating, hiking, camping and fishing, Canadians will experience a perhaps less welcome seasonal phenomenon this year. Parliament closed up shop on Thursday night, effectively kicking off the unofficial start of the federal election campaign."
2019-05-11 01:31:15+00:00,U.S.,"WASHINGTON — When President Trump had finished mocking the field of Democratic presidential candidates at a rally in Florida this week (“Sleepy Joe,” “Crazy Bernie” and “Boot-edge-edge”), he pivoted abruptly to his intensifying trade war with China. The segue was no accident: Mr. Trump is determined to present himself as tougher on the Chinese than any of his potential challengers in 2020."
2019-05-10 15:08:08+00:00,World,"JOHANNESBURG — Facing widespread voter disillusionment and anger, the African National Congress on Saturday kept control of South Africa’s national government with its weakest electoral showing since the start of democracy a quarter-century ago, and barely clung to power in the country’s richest province."
2019-05-30 15:40:04+00:00,World,"Israeli lawmakers voted early Thursday to dissolve the Parliament barely a month after it was sworn in, plunging Israel into unprecedented political chaos and raising questions about what comes next. "
2019-07-23 23:10:09+00:00,U.S.,"WASHINGTON — After spending a week laying the groundwork for a 2020 message that seems loosely defined as us versus them, President Trump on Tuesday repackaged campaign rally red meat into child-size portions for a gathering of young supporters."
2019-08-02 03:01:10+00:00,Briefing,(Want to get this briefing by email? Here’s the sign-up.)
2019-05-21 09:00:14+00:00,World,"NEW DELHI — For much of India’s history since independence from British rule, the Indian National Congress dominated the country’s political scene. Even when its decline began, the party still maintained power. After all, it was the party of towering independence leaders like Mohandas Gandhi."
2019-05-29 03:24:50+00:00,Briefing,(Want to get this briefing by email? Here’s the sign-up.)
2019-05-30 14:03:26+00:00,U.S.,President Trump walked back a tweet where he said that Russia helped “me to get elected.” He has often repeated the idea that Russia had nothing to do with getting him elected. Here are a few instances.
2019-04-08 07:21:35+00:00,World,"HONG KONG — A political party led by the president of the Maldives appeared to have won decisively in parliamentary elections over the weekend, a result that may help him restore political freedoms in a strategically important country with an authoritarian past."
2019-02-27 11:00:06+00:00,Podcasts,Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via RadioPublic | Via Stitcher
2019-04-26 20:20:17+00:00,World,"FUENTECAMBRÓN, Spain — At 48, Ignacio Sotillos García has the dubious distinction of being the youngest inhabitant of his village in Soria, a province of northern Spain."
2019-03-29 09:00:12+00:00,World,Campaigning for Ukraine’s presidential election had just begun to heat up when the authorities announced they had thwarted a Russian plot to use Facebook to undermine the vote.
2019-05-14 13:45:24+00:00,U.S.,See full results and maps from the North Carolina primaries.
2019-07-17 00:24:07+00:00,U.S.,"WASHINGTON — With three days of attacks on four liberal, minority first-term congresswomen, President Trump and the Republicans have sent the clearest signal yet that their approach to 2020 will be a racially divisive reprise of the strategy that helped Mr. Trump narrowly capture the White House in 2016."
2019-06-18 17:11:26+00:00,U.S.,"ORLANDO, Fla. — President Trump delivered a fierce denunciation of the news media, the political establishment and what he called his radical opponents on Tuesday as he opened his re-election campaign in front of a huge crowd of raucous supporters by evoking the dark messaging and personal grievances that animated his 2016 victory."
2018-10-20 00:18:22+00:00,Opinion,Will November’s election be hacked? A quick sampling of news stories over the past couple of years offers little comfort.
2019-07-30 23:01:51+00:00,U.S.,"WASHINGTON — A federal judge in Manhattan on Monday dismissed a lawsuit by the Democratic National Committee that had accused President Trump’s 2016 campaign, WikiLeaks and Russia of illegally conspiring to damage Hillary Clinton’s presidential run."
2019-05-27 20:11:23+00:00,Briefing,(Want to get this briefing by email? Here’s the sign-up.)
2019-03-16 15:47:47+00:00,World,"LONDON — This is the story of a strange election in a small Massachusetts city called Fall River that, believe or not, helps explain Britain’s week of Brexit chaos and its uncertain future."
2019-05-07 20:16:25+00:00,Opinion,To the Editor:
2019-08-30 06:00:13+00:00,World,"LONDON — Prime Minister Boris Johnson’s decision to suspend Parliament next month has brought a fresh wave of consternation and confusion to Britain’s already chaotic efforts to leave the European Union, while still leaving wide open the question of where Britain will end up on Oct. 31., the day the country is scheduled to leave the bloc."
2019-04-19 15:01:01+00:00,Books,"In this week’s issue, Harold Evans reviews Robert A. Caro’s latest book, “Working.” In 1990, Christopher Lehmann-Haupt reviewed “Means of Ascent,” the second volume of Caro’s biography “The Years of Lyndon Johnson,” for The Times."
