e_id,Attrition,DailyRate,HourlyRate,PerformanceRating,StockOptionLevel
192,No,202,37,3,1
193,Yes,203,38,1,0
194,No,204,39,1,0
195,No,205,40,3,0
196,No,206,41,4,1
197,No,207,42,4,0
198,No,208,43,1,0
199,Yes,209,44,4,1
200,Yes,210,5,1,1
201,Yes,211,6,4,0
202,Yes,212,7,3,1
203,Yes,213,8,1,0
204,Yes,214,9,2,0
205,No,215,10,3,0
206,No,216,11,2,1
207,No,217,12,2,1
208,Yes,218,13,2,0
209,Yes,219,14,1,1
210,No,220,15,1,1
211,No,221,16,1,1
212,Yes,222,17,3,1
213,Yes,223,18,3,1
214,No,224,19,1,1
215,No,225,20,3,1
216,No,226,21,3,0
217,No,227,22,1,1
218,No,228,23,1,1
219,Yes,229,24,2,0
220,Yes,230,25,2,1
221,No,231,26,1,0
222,No,232,27,4,1
223,Yes,233,28,1,0
224,Yes,234,29,1,1
225,Yes,235,30,4,1
226,Yes,236,31,3,1
227,Yes,237,32,4,1
228,No,238,33,2,0
229,No,239,34,2,0
230,No,240,35,2,0
231,No,241,36,2,1
232,Yes,242,37,4,0
233,No,243,38,1,1
234,Yes,244,39,3,1
235,No,245,40,3,1
236,Yes,246,41,2,1
237,No,247,42,3,1
238,No,248,43,3,0
239,No,249,44,4,1
240,Yes,250,5,1,0
241,Yes,251,6,4,1
242,Yes,252,7,4,1
243,Yes,253,8,3,0
244,No,254,9,4,0
245,Yes,255,10,3,1
246,No,256,11,2,0
247,No,257,12,1,1
248,Yes,258,13,4,1
249,Yes,259,14,4,1
250,No,260,15,3,0
251,Yes,261,16,2,1
252,Yes,262,17,4,0
253,Yes,263,18,1,1
254,No,264,19,4,0
255,No,265,20,1,1
256,Yes,266,21,2,1
257,Yes,267,22,2,0
258,Yes,268,23,2,1
259,No,269,24,3,1
260,Yes,270,25,4,1
261,Yes,271,26,2,1
262,Yes,272,27,4,1
263,Yes,273,28,4,0
264,Yes,274,29,3,0
265,Yes,275,30,3,1
266,No,276,31,2,1
267,Yes,277,32,4,0
268,No,278,33,1,1
269,No,279,34,1,1
270,Yes,280,35,2,0
271,No,281,36,2,1
272,No,282,37,4,1
273,Yes,283,38,4,1
274,Yes,284,39,2,1
275,No,285,40,1,0
276,Yes,286,41,1,0
277,No,287,42,4,1
278,No,288,43,3,0
279,Yes,289,44,1,0
280,No,290,5,4,1
281,Yes,291,6,4,1
282,Yes,292,7,2,1
283,Yes,293,8,2,1
284,Yes,294,9,4,1
285,No,295,10,1,0
286,Yes,296,11,4,1
287,Yes,297,12,2,1
288,No,298,13,4,1
289,No,299,14,4,1
290,Yes,300,15,3,0
291,No,301,16,3,0
292,Yes,302,17,4,1
293,No,303,18,3,0
294,No,304,19,4,0
295,No,305,20,4,0
296,No,306,21,4,1
297,No,307,22,3,1
298,Yes,308,23,3,1
299,Yes,309,24,2,1
300,Yes,310,25,1,0
301,Yes,311,26,4,1
302,Yes,312,27,1,0
303,Yes,313,28,2,0
304,No,314,29,2,0
305,Yes,315,30,3,1
306,Yes,316,31,3,1
307,No,317,32,3,1
308,No,318,33,3,1
309,No,319,34,3,0
310,No,320,35,1,1
311,No,321,36,1,1
312,No,322,37,2,1
313,No,323,38,3,1
314,No,324,39,3,1
315,Yes,325,40,1,0
316,No,326,41,1,1
317,Yes,327,42,4,1
318,No,328,43,1,1
319,No,329,44,3,1
320,No,330,5,4,1
321,Yes,331,6,1,0
322,Yes,332,7,2,1
323,Yes,333,8,3,1
324,Yes,334,9,2,1
325,Yes,335,10,1,0
326,Yes,336,11,1,0
327,No,337,12,3,1
328,Yes,338,13,4,1
329,Yes,339,14,2,0
330,No,340,15,1,1
331,Yes,341,16,3,1
332,No,342,17,4,1
333,No,343,18,3,0
334,No,344,19,3,0
335,No,345,20,3,0
336,No,346,21,1,0
337,No,347,22,1,1
338,Yes,348,23,3,0
339,Yes,349,24,3,1
340,No,350,25,1,1
341,Yes,351,26,3,1
342,No,352,27,1,1
343,Yes,353,28,1,1
344,Yes,354,29,2,0
345,Yes,355,30,4,1
346,Yes,356,31,1,0
347,Yes,357,32,3,1
348,Yes,358,33,4,0
349,No,359,34,2,0
350,No,360,35,4,1
351,No,361,36,3,0
352,Yes,362,37,4,0
353,No,363,38,1,0
354,No,364,39,2,0
355,Yes,365,40,2,0
356,No,366,41,3,0
357,Yes,367,42,1,1
358,Yes,368,43,4,0
359,Yes,369,44,1,0
360,No,370,5,3,0
361,No,371,6,2,0
362,Yes,372,7,2,0
363,Yes,373,8,3,0
364,Yes,374,9,1,0
365,Yes,375,10,1,1
366,No,376,11,3,1
367,Yes,377,12,4,0
368,Yes,378,13,3,0
369,No,379,14,4,0
370,No,380,15,4,0
371,No,381,16,4,1
372,Yes,382,17,2,1
373,Yes,383,18,2,1
374,Yes,384,19,2,0
375,No,385,20,3,1
376,Yes,386,21,4,0
377,Yes,387,22,2,1
378,Yes,388,23,4,1
379,No,389,24,1,0
380,No,390,25,1,1
381,Yes,391,26,3,1
382,No,392,27,1,0
383,No,393,28,1,1
384,Yes,394,29,3,1
385,Yes,395,30,4,0
386,Yes,396,31,2,0
387,Yes,397,32,2,0
388,No,398,33,1,0
389,No,399,34,3,0
390,Yes,400,35,4,1
391,Yes,401,36,1,1
392,No,402,37,1,0
393,No,403,38,3,1
394,Yes,404,39,4,1
395,Yes,405,40,1,0
396,Yes,406,41,1,0
397,Yes,407,42,2,1
398,No,408,43,2,0
399,Yes,409,44,3,1
400,Yes,410,5,1,0
401,No,411,6,1,1
402,No,412,7,3,0
403,Yes,413,8,2,1
404,Yes,414,9,4,0
405,Yes,415,10,2,0
406,Yes,416,11,4,0
407,Yes,417,12,3,1
408,Yes,418,13,3,0
409,Yes,419,14,4,1
410,Yes,420,15,4,0
411,Yes,421,16,2,0
412,Yes,422,17,3,1
413,Yes,423,18,2,0
414,Yes,424,19,1,0
415,Yes,425,20,3,0
416,No,426,21,1,0
417,Yes,427,22,1,0
418,Yes,428,23,3,1
419,Yes,429,24,2,0
420,No,430,25,4,1
421,Yes,431,26,4,0
422,No,432,27,2,1
423,No,433,28,4,0
424,Yes,434,29,4,1
425,Yes,435,30,2,0
426,Yes,436,31,3,0
427,Yes,437,32,1,0
428,Yes,438,33,4,0
429,Yes,439,34,1,0
430,Yes,440,35,1,1
431,No,441,36,4,1
432,No,442,37,3,0
433,Yes,443,38,4,1
434,Yes,444,39,1,0
435,No,445,40,3,1
436,Yes,446,41,2,0
437,No,447,42,4,1
438,Yes,448,43,1,1
439,Yes,449,44,1,0
440,No,450,5,4,0
441,Yes,451,6,4,0
442,No,452,7,2,0
443,Yes,453,8,4,0
444,No,454,9,1,1
445,No,455,10,3,1
446,No,456,11,4,1
447,No,457,12,2,1
448,No,458,13,1,1
449,No,459,14,3,0
450,No,460,15,3,0
451,No,461,16,4,0
452,Yes,462,17,4,0
453,Yes,463,18,4,1
454,No,464,19,4,1
455,Yes,465,20,3,0
456,Yes,466,21,3,1
457,Yes,467,22,4,0
458,Yes,468,23,4,1
459,No,469,24,2,0
460,No,470,25,1,0
461,No,471,26,4,0
462,Yes,472,27,1,1
463,Yes,473,28,1,1
464,Yes,474,29,1,0
465,Yes,475,30,3,0
466,No,476,31,3,0
467,No,477,32,2,1
468,No,478,33,4,0
469,Yes,479,34,1,0
470,No,480,35,4,0
471,Yes,481,36,1,1
472,No,482,37,1,1
473,No,483,38,1,0
474,Yes,484,39,4,0
475,No,485,40,3,1
476,No,486,41,2,0
477,No,487,42,1,1
478,Yes,488,43,1,0
479,Yes,489,44,4,0
480,No,490,5,1,0
481,Yes,491,6,1,0
482,Yes,492,7,2,0
483,Yes,493,8,2,0
484,No,494,9,4,0
485,No,495,10,2,0
486,No,496,11,1,0
487,No,497,12,4,0
488,Yes,498,13,2,1
489,No,499,14,1,1
490,Yes,500,15,1,1
491,No,501,16,2,0
492,No,502,17,1,0
493,Yes,503,18,1,0
494,No,504,19,1,1
495,No,505,20,3,0
496,No,506,21,3,1
497,Yes,507,22,3,0
498,No,508,23,4,1
499,No,509,24,1,0
500,No,510,25,2,1
501,No,511,26,2,1
502,No,512,27,1,1
503,No,513,28,3,0
504,No,514,29,3,0
505,No,515,30,2,1
506,Yes,516,31,3,0
507,Yes,517,32,2,0
508,Yes,518,33,1,1
509,No,519,34,1,1
510,Yes,520,35,1,0
511,No,521,36,3,1
512,Yes,522,37,4,0
513,Yes,523,38,2,0
514,No,524,39,3,1
515,Yes,525,40,3,1
516,Yes,526,41,3,0
517,No,527,42,4,0
518,Yes,528,43,4,0
519,Yes,529,44,3,0
520,No,530,5,4,1
521,Yes,531,6,4,0
522,Yes,532,7,3,0
523,No,533,8,2,1
524,Yes,534,9,1,0
525,Yes,535,10,3,1
526,No,536,11,2,0
527,Yes,537,12,1,1
528,Yes,538,13,4,0
529,No,539,14,2,1
530,No,540,15,2,0
531,No,541,16,1,1
532,No,542,17,2,1
533,Yes,543,18,2,1
534,No,544,19,4,0
535,Yes,545,20,3,0
536,No,546,21,2,0
537,Yes,547,22,4,1
538,Yes,548,23,3,1
539,No,549,24,4,0
540,No,550,25,2,0
541,No,551,26,1,0
542,No,552,27,3,0
543,No,553,28,1,0
544,No,554,29,4,1
545,Yes,555,30,1,0
546,No,556,31,4,0
547,No,557,32,2,0
548,No,558,33,4,1
549,No,559,34,4,1
550,Yes,560,35,1,0
551,Yes,561,36,1,0
552,No,562,37,4,1
553,No,563,38,4,1
554,No,564,39,1,0
555,No,565,40,2,0
556,Yes,566,41,4,0
557,No,567,42,4,1
558,Yes,568,43,1,1
559,Yes,569,44,1,0
560,Yes,570,5,2,1
561,No,571,6,4,1
562,Yes,572,7,3,1
563,No,573,8,4,0
564,No,574,9,4,1
565,Yes,575,10,3,1
566,No,576,11,4,0
567,No,577,12,2,1
568,Yes,578,13,3,0
569,No,579,14,1,1
570,Yes,580,15,1,1
571,No,581,16,2,0
572,No,582,17,1,0
573,No,583,18,1,1
574,No,584,19,4,1
575,No,585,20,4,1
576,Yes,586,21,3,0
577,Yes,587,22,4,0
578,No,588,23,4,1
579,No,589,24,2,1
580,No,590,25,4,0
581,Yes,591,26,4,1
582,Yes,592,27,1,1
583,Yes,593,28,1,0
584,Yes,594,29,4,0
585,No,595,30,2,1
586,Yes,596,31,3,0
587,No,597,32,3,1
588,No,598,33,1,1
589,Yes,599,34,4,0
590,No,600,35,1,0
591,Yes,601,36,1,1
592,No,602,37,3,0
593,No,603,38,4,0
594,Yes,604,39,1,1
595,No,605,40,4,1
596,No,606,41,2,1
597,No,607,42,3,0
598,No,608,43,4,1
599,No,609,44,4,1
600,No,610,5,2,1
601,Yes,611,6,3,1
602,No,612,7,3,0
603,No,613,8,4,1
604,Yes,614,9,2,0
605,Yes,615,10,2,0
606,Yes,616,11,1,1
607,No,617,12,2,0
608,Yes,618,13,4,0
609,No,619,14,1,0
610,No,620,15,2,1
611,No,621,16,3,0
612,Yes,622,17,3,0
613,Yes,623,18,2,1
614,No,624,19,1,0
615,No,625,20,4,1
616,Yes,626,21,2,0
617,Yes,627,22,4,0
618,No,628,23,3,0
619,No,629,24,2,0
620,No,630,25,2,0
621,No,631,26,1,1
622,Yes,632,27,4,1
623,No,633,28,1,1
624,Yes,634,29,3,0
625,Yes,635,30,3,0
626,No,636,31,1,1
627,Yes,637,32,1,0
628,No,638,33,4,1
629,No,639,34,3,0
630,Yes,640,35,1,0
631,No,641,36,3,0
632,Yes,642,37,3,1
633,Yes,643,38,4,0
634,Yes,644,39,4,1
635,No,645,40,4,1
636,Yes,646,41,4,0
637,No,647,42,3,0
638,Yes,648,43,1,1
639,Yes,649,44,2,1
640,Yes,650,5,1,0
641,Yes,651,6,4,1
642,Yes,652,7,2,0
643,Yes,653,8,1,0
644,Yes,654,9,4,0
645,Yes,655,10,4,1
646,Yes,656,11,2,1
647,Yes,657,12,3,0
648,Yes,658,13,4,1
649,No,659,14,1,0
650,No,660,15,2,1
651,No,661,16,3,1
652,Yes,662,17,2,0
653,Yes,663,18,1,0
654,No,664,19,3,0
655,Yes,665,20,3,1
656,Yes,666,21,3,1
657,No,667,22,2,0
658,No,668,23,1,1
659,No,669,24,2,1
660,Yes,670,25,4,0
661,No,671,26,3,0
662,Yes,672,27,3,0
663,Yes,673,28,1,1
664,No,674,29,2,0
665,Yes,675,30,4,0
666,No,676,31,4,1
667,Yes,677,32,4,0
668,No,678,33,2,1
669,No,679,34,2,0
670,Yes,680,35,3,0
671,Yes,681,36,4,0
672,No,682,37,3,0
673,No,683,38,2,1
674,No,684,39,4,1
675,No,685,40,1,1
676,No,686,41,4,0
677,No,687,42,1,0
678,No,688,43,4,1
679,Yes,689,44,1,0
680,No,690,5,3,1
681,Yes,691,6,3,0
682,Yes,692,7,1,0
683,No,693,8,3,1
684,No,694,9,3,1
685,No,695,10,2,1
686,No,696,11,4,1
687,No,697,12,3,0
688,Yes,698,13,2,1
689,No,699,14,2,1
690,Yes,700,15,2,1
691,No,701,16,3,1
692,No,702,17,1,0
693,Yes,703,18,2,0
694,Yes,704,19,1,0
695,No,705,20,4,0
696,No,706,21,3,1
697,Yes,707,22,1,0
698,Yes,708,23,2,1
699,Yes,709,24,2,1
700,Yes,710,25,4,0
701,Yes,711,26,4,1
702,No,712,27,3,1
703,No,713,28,4,1
704,Yes,714,29,2,1
705,Yes,715,30,4,0
706,Yes,716,31,2,0
707,No,717,32,4,1
708,Yes,718,33,1,0
709,Yes,719,34,2,1
710,No,720,35,4,0
711,No,721,36,4,0
712,No,722,37,3,1
713,No,723,38,3,1
714,Yes,724,39,2,1
715,Yes,725,40,2,0
716,Yes,726,41,4,1
717,Yes,727,42,2,0
718,No,728,43,4,1
719,Yes,729,44,3,1
720,Yes,730,5,4,1
721,No,731,6,4,1
722,No,732,7,2,0
723,Yes,733,8,4,0
724,No,734,9,2,1
725,Yes,735,10,3,0
726,No,736,11,2,1
727,Yes,737,12,3,1
728,Yes,738,13,2,1
729,Yes,739,14,1,0
730,No,740,15,2,0
731,No,741,16,1,1
732,No,742,17,3,0
733,Yes,743,18,2,1
734,No,744,19,2,1
735,Yes,745,20,2,0
736,Yes,746,21,2,0
737,No,747,22,4,1
738,Yes,748,23,4,0
739,Yes,749,24,2,1
740,No,750,25,4,0
741,Yes,751,26,1,0
742,Yes,752,27,1,1
743,Yes,753,28,3,1
744,Yes,754,29,2,1
745,Yes,755,30,1,1
746,No,756,31,3,0
747,Yes,757,32,1,1
748,Yes,758,33,2,1
749,No,759,34,1,0
750,Yes,760,35,2,1
751,No,761,36,3,1
752,No,762,37,1,0
753,No,763,38,3,1
754,Yes,764,39,2,0
755,No,765,40,2,1
756,No,766,41,4,1
757,No,767,42,4,1
758,Yes,768,43,1,1
759,No,769,44,2,0
760,No,770,5,2,0
761,Yes,771,6,3,0
762,No,772,7,2,1
763,Yes,773,8,2,1
764,Yes,774,9,1,0
765,Yes,775,10,3,1
766,No,776,11,3,1
767,Yes,777,12,1,0
768,No,778,13,1,0
769,Yes,779,14,4,0
770,Yes,780,15,4,1
771,No,781,16,3,0
772,Yes,782,17,2,1
773,Yes,783,18,1,1
774,Yes,784,19,3,0
775,No,785,20,1,1
776,No,786,21,3,0
777,No,787,22,3,1
778,No,788,23,4,1
779,Yes,789,24,2,1
780,No,790,25,1,0
781,No,791,26,3,0
782,Yes,792,27,2,0
783,No,793,28,3,1
784,No,794,29,1,1
785,Yes,795,30,1,0
786,No,796,31,2,0
787,Yes,797,32,2,1
788,Yes,798,33,3,0
789,Yes,799,34,1,1
790,Yes,800,35,4,1
791,No,801,36,3,1
792,No,802,37,3,0
793,No,803,38,4,0
794,Yes,804,39,4,1
795,Yes,805,40,4,0
796,Yes,806,41,2,1
797,No,807,42,3,1
798,No,808,43,1,1
799,No,809,44,2,0
800,Yes,10,5,2,0
801,No,11,6,1,1
802,Yes,12,7,2,1
803,Yes,13,8,2,1
804,No,14,9,1,1
805,No,15,10,1,0
806,Yes,16,11,1,1
807,Yes,17,12,3,0
808,Yes,18,13,1,0
809,Yes,19,14,4,1
810,Yes,20,15,1,0
811,No,21,16,4,0
812,No,22,17,2,1
813,No,23,18,4,0
814,Yes,24,19,4,0
815,Yes,25,20,1,1
816,No,26,21,4,1
817,No,27,22,4,0
818,Yes,28,23,3,1
819,Yes,29,24,2,0
820,No,30,25,4,0
821,No,31,26,4,1
822,Yes,32,27,4,1
823,Yes,33,28,1,1
824,No,34,29,4,0
825,Yes,35,30,3,0
826,Yes,36,31,1,0
827,No,37,32,2,1
828,Yes,38,33,1,0
829,Yes,39,34,1,1
830,Yes,40,35,4,0
831,Yes,41,36,2,0
832,No,42,37,1,1
833,No,43,38,4,1
834,Yes,44,39,2,1
835,No,45,40,2,1
836,No,46,41,1,1
837,Yes,47,42,4,1
838,No,48,43,4,1
839,No,49,44,1,1
840,Yes,50,5,2,0
841,No,51,6,1,1
842,Yes,52,7,1,0
843,Yes,53,8,4,1
844,No,54,9,4,1
845,Yes,55,10,1,0
846,Yes,56,11,1,0
847,No,57,12,4,0
848,No,58,13,1,0
849,No,59,14,2,1
850,No,60,15,2,0
851,No,61,16,1,0
852,Yes,62,17,4,0
853,Yes,63,18,2,0
854,Yes,64,19,4,1
855,No,65,20,2,1
856,Yes,66,21,1,1
857,No,67,22,3,0
858,Yes,68,23,4,0
859,Yes,69,24,1,0
860,Yes,70,25,4,1
861,No,71,26,4,1
862,No,72,27,3,1
863,Yes,73,28,2,0
864,Yes,74,29,2,0
865,Yes,75,30,1,1
866,No,76,31,2,1
867,No,77,32,4,0
868,Yes,78,33,1,0
869,Yes,79,34,1,1
870,Yes,80,35,3,0
871,Yes,81,36,4,0
872,No,82,37,2,1
873,No,83,38,3,1
874,Yes,84,39,4,0
875,No,85,40,1,0
876,Yes,86,41,4,0
877,No,87,42,2,1
878,No,88,43,4,1
879,No,89,44,4,1
880,Yes,90,5,4,0
881,No,91,6,3,1
882,Yes,92,7,2,1
883,No,93,8,1,0
884,No,94,9,2,0
885,Yes,95,10,2,0
886,Yes,96,11,1,1
887,No,97,12,4,1
888,Yes,98,13,1,1
889,No,99,14,3,1
890,No,100,15,1,0
891,No,101,16,2,1
892,No,102,17,1,0
893,No,103,18,1,0
894,No,104,19,4,1
895,No,105,20,1,0
896,No,106,21,2,1
897,No,107,22,3,1
898,No,108,23,4,0
899,Yes,109,24,2,1
900,Yes,110,25,1,1
901,Yes,111,26,3,1
902,Yes,112,27,1,0
903,Yes,113,28,3,1
904,No,114,29,4,1
905,Yes,115,30,3,0
906,No,116,31,3,0
907,Yes,117,32,4,1
908,No,118,33,1,0
909,No,119,34,2,0
910,No,120,35,2,1
911,No,121,36,3,1
912,Yes,122,37,1,0
913,No,123,38,1,0
914,Yes,124,39,3,0
915,Yes,125,40,4,0
916,Yes,126,41,3,1
917,No,127,42,2,1
918,No,128,43,4,1
919,Yes,129,44,1,1
920,No,130,5,3,1
921,Yes,131,6,3,0
922,Yes,132,7,4,0
923,Yes,133,8,4,1
924,Yes,134,9,1,0
925,Yes,135,10,2,0
926,Yes,136,11,4,1
927,Yes,137,12,3,0
928,Yes,138,13,2,1
929,No,139,14,1,1
930,No,140,15,3,1
931,No,141,16,4,0
932,No,142,17,2,0
933,Yes,143,18,2,0
934,Yes,144,19,1,0
935,No,145,20,3,1
936,Yes,146,21,4,1
937,No,147,22,4,0
938,No,148,23,1,0
939,Yes,149,24,4,1
940,Yes,150,25,2,0
941,Yes,151,26,2,0
942,No,152,27,4,0
943,Yes,153,28,4,0
944,Yes,154,29,2,1
945,No,155,30,2,1
946,No,156,31,2,0
947,Yes,157,32,1,1
948,No,158,33,1,0
949,No,159,34,2,1
950,No,160,35,2,0
951,No,161,36,4,0
952,No,162,37,1,0
953,Yes,163,38,4,1
954,Yes,164,39,1,0
955,No,165,40,3,1
956,No,166,41,1,0
957,No,167,42,4,0
958,Yes,168,43,3,0
959,No,169,44,3,1
960,Yes,170,5,3,0
961,Yes,171,6,2,0
962,No,172,7,3,0
963,No,173,8,1,0
964,Yes,174,9,3,0
965,No,175,10,2,0
966,Yes,176,11,1,0
967,No,177,12,4,1
968,Yes,178,13,3,1
969,Yes,179,14,1,0
970,No,180,15,3,0
971,No,181,16,2,1
972,No,182,17,2,0
973,No,183,18,2,0
974,Yes,184,19,3,1
975,Yes,185,20,2,1
976,No,186,21,1,1
977,No,187,22,1,1
978,Yes,188,23,1,0
979,Yes,189,24,4,1
980,No,190,25,4,1
981,No,191,26,2,1
982,Yes,192,27,2,0
983,Yes,193,28,4,0
984,No,194,29,3,1
985,No,195,30,1,0
986,No,196,31,2,0
987,No,197,32,1,0
988,No,198,33,3,1
989,No,199,34,4,1
990,No,200,35,4,0
991,Yes,201,36,2,0
992,Yes,202,37,1,0
993,No,203,38,3,1
994,Yes,204,39,4,0
995,Yes,205,40,1,1
996,No,206,41,3,0
997,No,207,42,3,0
998,No,208,43,1,0
999,Yes,209,44,4,1
1000,No,210,5,4,1
1001,No,211,6,2,1
1002,No,212,7,4,1
1003,Yes,213,8,4,0
1004,Yes,214,9,4,1
1005,Yes,215,10,2,0
1006,No,216,11,2,0
1007,Yes,217,12,1,1
1008,Yes,218,13,3,1
1009,No,219,14,4,1
1010,Yes,220,15,2,1
1011,Yes,221,16,1,0
1012,No,222,17,3,1
1013,Yes,223,18,4,1
1014,No,224,19,1,0
1015,No,225,20,3,0
1016,No,226,21,2,0
1017,No,227,22,3,1
1018,No,228,23,3,0
1019,No,229,24,3,0
1020,No,230,25,2,0
1021,Yes,231,26,1,1
1022,Yes,232,27,4,0
1023,Yes,233,28,3,1
1024,No,234,29,4,1
1025,Yes,235,30,1,1
1026,Yes,236,31,2,0
1027,No,237,32,4,0
1028,Yes,238,33,2,1
1029,Yes,239,34,4,1
1030,No,240,35,1,1
1031,No,241,36,4,1
1032,No,242,37,2,0
1033,No,243,38,4,1
1034,Yes,244,39,4,1
1035,No,245,40,4,1
1036,No,246,41,4,0
1037,Yes,247,42,2,1
1038,Yes,248,43,3,0
1039,No,249,44,2,0
1040,No,250,5,1,1
1041,No,251,6,1,1
1042,Yes,252,7,1,1
1043,Yes,253,8,1,0
1044,Yes,254,9,4,1
1045,Yes,255,10,4,0
1046,No,256,11,2,1
1047,No,257,12,2,0
1048,Yes,258,13,2,0
1049,Yes,259,14,4,0
1050,No,260,15,4,0
1051,Yes,261,16,1,1
1052,No,262,17,3,0
1053,No,263,18,3,0
1054,No,264,19,3,1
1055,No,265,20,2,0
1056,No,266,21,4,0
1057,No,267,22,2,1
1058,Yes,268,23,3,0
1059,No,269,24,1,1
1060,Yes,270,25,3,1
1061,Yes,271,26,1,0
1062,Yes,272,27,2,0
1063,Yes,273,28,3,1
1064,Yes,274,29,2,0
1065,Yes,275,30,1,1
1066,Yes,276,31,2,1
