year_type,year,organization_group_code,organization_group,department_code,department,union_code,union,job_family_code,job_family,job_code,job,employee_identifier,salaries,overtime,other_salaries,total_salary,retirement,health_dental,other_benefits,total_benefits,total_compensation
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,37228,64614.41,3166.13,723.87,68504.41,19394.63,12940.64,5173.96,37509.23,106013.64
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,14198,18628.33,0.0,310.62,18938.95,4031.03,4119.31,1609.43,9759.77,28698.72
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,20734,51848.6,0.0,7164.28,59012.88,13511.08,12424.5,4628.03,30563.61,89576.49
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,21025,68136.16,25324.18,4712.99,98173.33,21639.11,13645.24,7453.64,42737.99,140911.32
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",9100,Street Transit,9102,Transit Car Cleaner,17554,9986.2,2153.28,2491.46,14630.94,0.0,2341.54,1233.16,3574.7,18205.64
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2706,Housekeeper/Food Service Clnr,33482,49679.0,0.0,4253.13,53932.13,12560.4,12424.5,4308.89,29293.79,83225.92
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,10241,67085.85,21705.25,5041.54,93832.64,21423.08,13434.45,6993.41,41850.94,135683.58
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,37443,39545.0,5869.76,2055.9,47470.66,10702.05,6478.07,3694.19,20874.31,68344.97
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,23607,56531.0,0.0,4118.4,60649.4,11659.55,12424.5,4713.67,28797.72,89447.12
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,200,"Transportation Workers, Local 200",9100,Street Transit,9520,Trans Safety Specialist,20797,104449.41,5945.58,13640.12,124035.11,24536.68,11542.66,8935.13,45014.47,169049.58
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,50863,0.0,0.0,2135.4,2135.4,0.0,12.86,144.23,157.09,2292.49
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,44131,1059.69,283.85,0.0,1343.54,0.0,335.27,104.01,439.28,1782.82
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,6,"Electrical Workers, Local 6",9100,Street Transit,9147,Traf Signal Electrician Sup I,27547,120163.02,10605.92,8806.37,139575.31,24182.87,12424.5,10114.77,46722.14,186297.45
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,29189,55882.71,0.0,4019.34,59902.05,12206.31,12281.15,4902.83,29390.29,89292.34
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,45679,26163.99,3888.63,1029.71,31082.33,7582.6,8277.72,2331.75,18192.07,49274.4
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,19778,51547.7,0.0,7743.88,59291.58,13430.73,12424.5,4841.66,30696.89,89988.47
Fiscal,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,14415,55949.5,0.0,7145.07,63094.57,13594.56,12500.56,4737.63,30832.75,93927.32
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,30048,4704.6,0.0,7800.55,12505.15,1055.24,955.73,974.85,2985.82,15490.97
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,24696,43848.21,17082.18,3491.41,64421.8,13746.97,8710.83,5012.61,27470.41,91892.21
Fiscal,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,47727,55943.3,39.66,626.4,56609.36,12688.68,12500.56,4685.71,29874.95,86484.31
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,6042,67130.85,8905.94,5308.76,81345.55,21516.59,13444.32,6124.24,41085.15,122430.7
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,47039,66758.11,9376.69,6027.68,82162.48,19964.49,13155.52,6246.28,39366.29,121528.77
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,30269,47775.5,0.0,6247.25,54022.75,10528.13,10489.14,4422.46,25439.73,79462.48
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,17464,64704.95,26097.64,1617.24,92419.83,18139.55,12749.15,6969.7,37858.4,130278.23
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,2851,65140.4,18927.7,3276.86,87344.96,18749.73,12838.21,6785.84,38373.78,125718.74
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",9100,Street Transit,9102,Transit Car Cleaner,8593,62395.6,13489.37,13266.55,89151.52,16019.39,12548.45,7037.36,35605.2,124756.72
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,38702,49702.22,12527.29,3515.72,65745.23,14076.6,9760.58,5038.79,28875.97,94621.2
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,21,"Prof & Tech Engineers - Miscellaneous, Local 21",8200,Protection & Apprehension,8219,Parking Enforcement Admin,9882,94391.7,5877.98,6891.52,107161.2,21172.0,12512.53,8610.51,42295.04,149456.24
Fiscal,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,48367,47333.1,0.0,560.1,47893.2,12212.02,12452.66,3888.84,28553.52,76446.72
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,27316,60975.42,7558.65,1439.6,69973.67,12833.49,12137.78,5705.75,30677.02,100650.69
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,25278,49791.1,2817.87,641.0,53249.97,11146.55,9782.98,3876.32,24805.85,78055.82
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,46283,21018.59,3400.73,341.2,24760.52,5171.14,6513.08,1895.66,13579.88,38340.4
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1408,Principal Clerk,41351,72697.13,30268.11,1781.17,104746.41,16371.57,12385.31,8556.51,37313.39,142059.8
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,34679,9367.7,918.34,711.82,10997.86,2765.41,2957.03,811.2,6533.64,17531.5
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,42088,64946.9,94.37,2668.56,67709.83,18450.67,12793.89,5052.21,36296.77,104006.6
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,3012,20117.46,1157.21,767.99,22042.66,5810.43,6381.22,1669.51,13861.16,35903.82
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,48704,11885.5,490.28,821.2,13196.98,2850.11,2634.22,1075.9,6560.23,19757.21
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",1400,"Clerical, Secretarial & Steno",1429,Nurses Staffing Assistant,2516,60303.04,0.0,622.95,60925.99,12555.32,12403.6,4998.95,29957.87,90883.86
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",9100,Street Transit,9506,Snr Permit And Citation Clerk,42498,75398.0,6214.03,0.0,81612.03,15539.79,12423.01,6616.6,34579.4,116191.43
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8201,School Crossing Guard,49927,10051.02,0.0,67.44,10118.46,0.0,0.0,799.36,799.36,10917.82
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,329,6561.83,0.0,250.0,6811.83,1851.0,1290.23,1061.1,4202.33,11014.16
Fiscal,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,28768,52236.8,0.0,7755.47,59992.27,14656.96,11776.14,4828.91,31262.01,91254.28
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,21439,67417.3,18002.28,3807.92,89227.5,21153.04,13503.47,6957.68,41614.19,130841.69
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,13553,2485.07,0.0,250.0,2735.07,648.85,471.89,191.28,1312.02,4047.09
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,39373,63418.8,19951.28,2819.51,86189.59,19660.48,12701.23,6717.7,39079.41,125269.0
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,351,Municipal Executive Association - Miscellaneous,9100,Street Transit,9181,"Manager VII, MTA",52999,170335.01,0.0,0.0,170335.01,34279.68,12424.5,17963.92,64668.1,235003.11
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,15274,33326.49,3890.85,1356.13,38573.47,9974.61,6627.57,2895.69,19497.87,58071.34
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,2471,64002.18,10849.5,1208.58,76060.26,19352.98,12820.61,5934.69,38108.28,114168.54
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,3149,23462.34,3343.9,519.97,27326.21,5265.27,4773.74,2262.59,12301.6,39627.81
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1408,Principal Clerk,44654,66382.62,5875.93,783.75,73042.3,13665.75,12424.5,5916.2,32006.45,105048.75
Fiscal,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1404,Clerk,4709,53556.9,2750.9,626.4,56934.2,13979.2,12500.56,4697.5,31177.26,88111.46
Calendar,2015,1,Public Protection,FIR,Fire Department,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1426,Senior Clerk Typist,44069,61735.09,598.73,624.0,62957.82,12852.62,12424.5,5204.01,30481.13,93438.95
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,24071,63407.96,11471.41,654.55,75533.92,15992.48,12700.34,5429.38,34122.2,109656.12
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,15016,68224.89,19153.43,5692.09,93070.41,21958.73,13662.12,7261.28,42882.13,135952.54
Fiscal,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1406,Senior Clerk,50335,55533.11,0.0,200.0,55733.11,14327.53,12500.56,4116.3,30944.39,86677.5
Fiscal,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",1400,"Clerical, Secretarial & Steno",1428,Unit Clerk,29917,64899.91,367.65,5108.42,70375.98,15658.01,12500.56,5764.85,33923.42,104299.4
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,2555,5837.62,219.42,296.48,6353.52,1754.21,1163.55,473.76,3391.52,9745.04
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,46112,46862.6,12125.16,1427.07,60414.83,11318.32,12424.5,4810.04,28552.86,88967.69
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,18179,9525.13,256.95,96.5,9878.58,2297.62,2914.14,755.85,5967.61,15846.19
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,6257,67085.94,28802.34,1838.55,97726.83,20464.49,13434.86,8185.23,42084.58,139811.41
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,10741,56531.01,0.0,4114.9,60645.91,12297.07,12424.5,4761.66,29483.23,90129.14
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,200,"Transportation Workers, Local 200",9100,Street Transit,9140,Transit Manager 1,24845,36650.43,0.0,20585.0,57235.43,993.2,4127.55,4424.25,9545.0,66780.43
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,19745,65964.8,6018.85,752.97,72736.62,18302.22,13000.63,4902.03,36204.88,108941.5
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1406,Senior Clerk,38033,21180.0,198.56,650.0,22028.56,5464.44,5734.39,1690.68,12889.51,34918.07
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1406,Senior Clerk,8407,19305.0,0.0,0.0,19305.0,4141.63,4300.78,1568.53,10010.94,29315.94
Fiscal,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",1400,"Clerical, Secretarial & Steno",1431,Senior Unit Clerk,29721,67495.11,733.2,240.0,68468.31,15148.11,12500.56,5516.1,33164.77,101633.08
Fiscal,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",1400,"Clerical, Secretarial & Steno",1429,Nurses Staffing Assistant,35417,57538.2,356.24,6381.39,64275.83,14016.91,12452.66,4953.95,31423.52,95699.35
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,34616,39809.74,6802.87,1533.37,48145.98,10810.91,12074.0,3650.82,26535.73,74681.71
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,45007,68209.17,10314.62,4176.18,82699.97,21500.34,13658.83,6336.22,41495.39,124195.36
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,32170,15148.09,1427.04,392.4,16967.53,3935.3,4781.69,1295.53,10012.52,26980.05
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,22920,56531.0,0.0,2689.07,59220.07,12932.18,12424.5,4855.69,30212.37,89432.44
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",9100,Street Transit,9102,Transit Car Cleaner,14333,7181.09,0.0,1395.81,8576.9,1801.38,0.0,698.48,2499.86,11076.76
Fiscal,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,3809,55943.3,0.0,7208.21,63151.51,13299.7,12500.56,5202.53,31002.79,94154.3
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,12506,1585.42,0.0,0.0,1585.42,375.06,477.86,123.06,975.98,2561.4
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,40851,55489.08,9761.75,2831.27,68082.1,17301.02,11104.0,4979.75,33384.77,101466.87
Fiscal,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1406,Senior Clerk,48874,49872.23,0.0,0.0,49872.23,12867.07,12500.56,3808.08,29175.71,79047.94
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,13512,47328.15,3416.54,2902.26,53646.95,12752.77,11640.85,4249.67,28643.29,82290.24
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,27440,56531.0,0.0,5958.08,62489.08,12374.18,12424.5,5150.09,29948.77,92437.85
Fiscal,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,20189,55733.41,0.0,4990.05,60723.46,13304.04,12452.66,5010.71,30767.41,91490.87
Fiscal,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1406,Senior Clerk,13396,11102.96,0.0,0.0,11102.96,0.0,3012.89,859.59,3872.48,14975.44
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,53203,66629.69,6736.27,2229.83,75595.79,20445.07,13344.64,5799.86,39589.57,115185.36
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,3713,64306.18,12390.64,7832.11,84528.93,21429.8,12882.52,6612.3,40924.62,125453.55
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,20044,56531.0,0.0,5885.18,62416.18,12288.35,12424.5,5144.37,29857.22,92273.4
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,27758,2842.36,437.93,277.18,3557.47,855.4,565.26,258.78,1679.44,5236.91
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,6271,60605.5,26751.42,5747.69,93104.61,17975.76,11927.64,7063.08,36966.48,130071.09
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,23988,62468.8,134.27,1491.04,64094.11,13111.57,12424.5,5240.85,30776.92,94871.03
