sales,transactions,neg
206.7,20,1
256.34,17,1
151.09,16,1
120.04,15,1
557.87,4,1
211.59,18,1
148.37,12,1
2157.17,2,1
125.64,16,1
232.23,17,1
1204.33,4,1
1303.07,19,1
232.8,19,1
1842.1,1,1
294.19,23,1
133.6,11,1
192.04,13,1
639.07,1,1
97.05,15,1
4235.62,1,1
455.6,11,1
403.77,12,1
1161.5,1,1
1773.33,8,1
4764.93,2,1
383.84,16,1
153.8,15,1
1025.67,6,1
469.86,17,1
248.32,17,1
215.18,17,1
242.51,21,1
2710.83,7,1
1739.0,20,1
1716.33,5,1
280.93,4,1
2120.17,1,1
219.58,13,1
310.87,19,1
168.63,5,1
245.58,22,1
286.6,2,1
2203.67,6,1
717.7,12,1
1453.67,8,1
216.83,27,1
332.32,21,1
1191.4,18,1
108.09,17,1
1377.57,4,1
126.78,17,1
466.4,18,1
429.94,16,1
4745.4,5,1
676.6,7,1
257.69,4,1
435.5,21,1
167.05,20,1
267.97,15,1
161.04,19,1
2987.14,1,1
1655.0,9,1
141.2,17,1
197.05,18,1
266.76,16,1
485.04,20,1
72.39,18,1
258.73,19,1
686.16,15,1
108.36,9,1
2793.67,1,1
691.87,15,1
120.05,18,1
336.83,15,1
1170.05,7,1
5445.0,10,1
123.01,5,1
157.58,14,1
351.37,10,1
260.31,21,1
247.6,21,1
491.28,18,1
144.37,22,1
208.59,20,1
3255.5,5,1
141.47,23,1
122.55,4,1
1199.45,6,1
487.15,18,1
221.55,17,1
2452.02,8,1
565.3,21,1
130.1,17,1
1627.83,3,1
1292.5,7,1
190.37,17,1
328.41,15,1
243.31,19,1
1402.27,2,1
2132.17,1,1
355.72,11,1
1060.0,2,1
157.88,15,1
108.0,19,1
661.61,18,1
178.48,21,1
115.05,36,1
287.8,11,1
110.33,10,1
165.92,19,1
277.14,25,1
170.13,16,1
1804.4,2,1
240.41,18,1
493.52,16,1
4773.17,1,1
140.31,16,1
684.18,20,1
474.45,20,1
1470.08,1,1
499.94,18,1
1988.0,1,1
1328.86,19,1
655.93,19,1
252.9,19,1
2863.68,8,1
996.75,19,1
167.83,19,1
1188.46,15,1
1492.47,16,1
1575.83,1,1
2438.8,2,1
1344.85,7,1
1369.0,4,1
687.73,16,1
376.03,19,1
1437.0,4,1
1270.17,5,1
660.71,18,1
726.07,20,1
238.25,21,1
125.77,17,1
215.92,22,1
157.67,21,1
513.37,18,1
117.32,2,1
1017.83,6,1
2714.33,5,1
585.73,18,1
305.62,5,1
172.9,19,1
137.23,4,1
90.57,19,1
304.42,20,1
263.35,16,1
213.52,16,1
137.56,17,1
2014.0,13,1
147.96,18,1
271.5,17,1
1138.67,4,1
1455.35,4,1
1462.0,4,1
6421.0,3,1
643.98,9,1
371.77,21,1
216.64,15,1
245.83,20,1
224.23,10,1
147.66,4,1
255.53,21,1
216.53,12,1
136.86,16,1
154.08,22,1
147.12,13,1
1842.5,4,1
308.07,23,1
2330.67,5,1
1697.17,3,1
299.13,19,1
1626.5,5,1
1841.02,1,1
1561.33,3,1
1236.5,1,1
167.12,19,1
157.53,16,1
210.03,19,1
331.59,20,1
1791.83,1,1
1919.33,4,1
189.19,8,1
177.56,16,1
1110.78,4,1
245.97,23,1
165.71,19,1
3571.67,3,1
212.93,15,1
158.08,20,1
239.68,20,1
142.86,19,1
232.12,21,1
164.51,20,1
6.57,18,1
280.14,17,1
271.47,25,1
1591.33,21,1
125.56,18,1
3278.38,3,1
135.23,17,1
280.68,15,1
2645.0,6,1
1578.83,1,1
5904.0,6,1
584.2,19,1
5521.53,4,1
258.43,17,1
425.17,17,1
443.37,18,1
407.22,19,1
1773.0,16,1
156.35,14,1
268.08,19,1
364.04,5,1
209.89,8,1
255.01,11,1
708.98,15,1
3754.33,4,1
182.06,16,1
2640.0,1,1
145.72,15,1
231.97,20,1
131.76,14,1
211.57,6,1
563.24,18,1
888.53,8,1
361.87,15,1
3305.64,7,1
232.14,11,1
94.49,18,1
422.59,20,1
793.8,25,1
2591.0,1,1
304.42,18,1
1762.33,3,1
443.15,17,1
324.18,20,1
186.93,20,1
173.21,19,1
567.56,19,1
149.71,19,1
937.52,19,1
357.4,23,1
1140.07,19,1
5214.73,3,1
284.43,12,1
317.84,2,1
306.25,17,1
259.37,18,1
198.69,21,1
288.11,18,1
362.5,15,1
156.44,17,1
232.29,16,1
1880.33,4,1
405.66,17,1
515.2,20,1
572.93,12,1
1516.55,1,1
706.84,18,1
147.39,15,1
197.85,17,1
159.38,18,1
375.38,17,1
171.55,17,1
132.92,21,1
246.03,18,1
3208.17,2,1
114.77,15,1
183.17,18,1
162.67,15,1
99.69,17,1
126.56,19,1
238.5,18,1
547.87,20,1
339.33,24,1
203.24,12,1
166.88,10,1
6441.93,7,1
195.14,13,1
323.37,15,1
120.4,18,1
158.93,18,1
227.91,17,1
190.08,18,1
114.09,19,1
1357.12,15,1
217.12,22,1
147.58,19,1
194.34,3,1
174.21,19,1
304.08,11,1
162.64,8,1
228.63,16,1
211.26,17,1
105.28,23,1
110.27,19,1
408.51,19,1
89.68,19,1
228.11,20,1
236.55,21,1
159.23,19,1
167.01,21,1
172.74,18,1
372.72,21,1
259.7,18,1
508.98,20,1
1202.67,19,1
960.05,7,1
339.6,24,1
3915.5,3,1
258.42,17,1
2171.22,1,1
1614.5,1,1
1665.17,3,1
156.02,21,1
239.22,18,1
1777.5,15,1
519.9,11,1
1758.5,1,1
310.63,24,1
119.19,18,1
222.74,5,1
256.35,7,1
404.99,1,1
238.91,21,1
147.69,18,1
1451.6,17,1
138.46,11,1
6771.48,4,1
341.71,15,1
908.13,8,1
421.6,19,1
1385.17,1,1
153.79,16,1
1324.8,1,1
112.16,20,1
3200.83,6,1
432.86,19,1
1129.73,2,1
650.87,23,1
2864.67,4,1
2751.0,7,1
1565.83,3,1
449.28,20,1
6323.98,1,1
96.32,9,1
245.0,12,1
121.12,22,1
224.72,15,1
155.87,18,1
446.91,10,1
1086.73,18,1
119.17,19,1
622.09,21,1
180.55,25,1
1711.17,1,1
1271.0,4,1
126.6,7,1
166.51,19,1
261.58,5,1
203.39,26,1
272.87,23,1
239.14,17,1
1674.17,6,1
203.33,4,1
194.8,19,1
318.63,19,1
214.77,7,1
176.46,12,1
125.2,22,1
3894.8,1,1
377.72,17,1
2356.17,1,1
1864.33,7,1
187.43,15,1
1629.83,1,1
315.39,15,1
138.15,26,1
337.89,19,1
1473.17,7,1
112.4,9,1
156.44,17,1
427.93,19,1
2327.17,11,1
491.4,19,1
1600.3,7,1
1789.83,10,1
266.74,10,1
2781.13,1,1
1382.33,10,1
1370.17,1,1
332.83,21,1
377.24,22,1
187.56,17,1
428.74,15,1
222.0,17,1
1486.13,5,1
163.41,17,1
2183.57,43,1
173.75,18,1
372.7,21,1
211.3,20,1
4296.0,2,1
197.87,9,1
302.45,15,1
145.24,17,1
4404.83,1,1
345.29,20,1
98.67,19,1
276.08,15,1
1503.33,1,1
113.12,15,1
135.3,18,1
312.5,8,1
159.16,11,1
458.0,19,1
151.24,5,1
786.87,17,1
-14.32,20,-1
7264.92,1,1
1906.67,5,1
1122.13,16,1
1260.93,12,1
3129.17,1,1
218.01,28,1
241.5,7,1
200.76,7,1
1035.73,50,1
213.15,19,1
204.08,6,1
705.04,21,1
4161.67,2,1
747.68,20,1
278.75,19,1
210.48,20,1
188.66,15,1
378.36,19,1
247.1,6,1
152.19,14,1
279.62,21,1
285.96,21,1
224.34,25,1
275.26,19,1
697.17,5,1
300.74,7,1
1189.25,21,1
2853.17,3,1
1186.0,6,1
278.74,16,1
1341.0,1,1
2568.58,3,1
382.5,23,1
2040.74,7,1
152.48,17,1
520.91,20,1
121.65,16,1
136.78,8,1
140.21,15,1
208.08,19,1
110.45,3,1
602.48,16,1
1295.15,21,1
430.49,22,1
1574.95,9,1
216.21,15,1
248.32,18,1
509.92,17,1
514.86,17,1
144.61,19,1
1484.33,3,1
2401.83,2,1
755.65,16,1
250.91,18,1
172.86,11,1
373.33,19,1
1852.2,4,1
521.41,11,1
236.48,17,1
191.01,17,1
596.88,12,1
5088.46,7,1
1752.13,26,1
2289.83,2,1
275.83,18,1
297.12,24,1
1392.8,3,1
132.95,18,1
253.04,17,1
202.21,15,1
526.2,25,1
1358.67,6,1
543.55,20,1
1722.67,4,1
737.77,17,1
360.19,18,1
1372.83,1,1
1709.17,1,1
235.03,21,1
184.82,4,1
171.79,21,1
243.49,12,1
129.81,20,1
430.08,20,1
144.87,17,1
1226.83,1,1
1298.67,1,1
212.23,12,1
261.75,17,1
507.13,18,1
2662.83,6,1
397.61,4,1
93.75,21,1
218.82,19,1
2448.33,4,1
6875.44,8,1
3380.43,2,1
264.51,17,1
2548.22,7,1
153.66,20,1
176.01,21,1
113.77,14,1
1390.83,1,1
146.85,11,1
163.16,20,1
262.91,18,1
525.42,19,1
398.21,10,1
1244.17,1,1
459.47,18,1
1729.33,9,1
206.91,6,1
106.55,2,1
250.46,18,1
154.67,20,1
204.53,19,1
228.82,20,1
157.52,20,1
717.47,9,1
347.49,7,1
180.93,20,1
700.16,16,1
338.21,13,1
1609.67,8,1
153.4,9,1
730.96,18,1
216.78,22,1
190.53,12,1
279.69,11,1
277.15,17,1
780.3,17,1
184.7,19,1
63.04,17,1
111.23,21,1
1850.12,4,1
641.57,1,1
888.04,18,1
496.32,18,1
1977.83,8,1
1616.33,1,1
469.7,16,1
859.08,11,1
1984.45,3,1
203.87,4,1
4606.33,3,1
507.31,19,1
378.89,21,1
2774.85,3,1
170.11,19,1
135.37,18,1
443.31,25,1
1731.17,1,1
1523.43,24,1
160.61,21,1
181.14,16,1
116.13,20,1
334.35,14,1
218.07,22,1
199.64,3,1
275.39,20,1
151.35,15,1
237.96,20,1
598.75,12,1
298.23,22,1
334.06,17,1
228.25,18,1
176.55,10,1
3723.83,2,1
181.05,9,1
190.22,3,1
1450.5,1,1
7693.4,1,1
170.48,14,1
176.83,20,1
129.49,17,1
1747.0,1,1
318.93,20,1
348.07,19,1
372.37,15,1
2869.5,1,1
164.45,22,1
5717.83,4,1
235.84,8,1
4899.67,1,1
337.22,10,1
119.85,19,1
186.42,13,1
154.27,20,1
1564.17,2,1
1048.67,6,1
2961.4,29,1
136.48,18,1
244.64,18,1
152.02,22,1
141.97,17,1
166.93,20,1
2350.62,5,1
112.0,7,1
139.03,15,1
200.63,15,1
446.1,20,1
3794.5,1,1
2216.8,9,1
2728.83,6,1
432.93,22,1
224.96,18,1
300.88,22,1
427.67,15,1
218.09,14,1
155.43,23,1
151.08,24,1
200.55,9,1
128.61,19,1
1511.17,6,1
1018.27,3,1
143.88,19,1
125.28,24,1
140.71,17,1
232.59,3,1
178.76,23,1
295.25,16,1
303.24,19,1
148.67,17,1
100.28,20,1
1438.67,5,1
169.89,12,1
198.63,20,1
1902.33,1,1
315.13,11,1
999.5,7,1
2737.0,4,1
156.29,15,1
2019.5,2,1
118.61,17,1
293.09,19,1
3016.0,1,1
1616.98,1,1
281.91,18,1
256.15,19,1
127.41,10,1
1924.0,1,1
220.59,18,1
211.51,17,1
453.77,16,1
213.69,1,1
309.54,20,1
193.39,21,1
417.4,21,1
130.43,14,1
804.08,17,1
346.23,20,1
2074.17,2,1
2612.0,4,1
212.1,15,1
1104.61,15,1
116.67,17,1
1938.08,1,1
621.33,20,1
342.85,23,1
308.23,14,1
296.72,18,1
1524.0,7,1
1900.8,14,1
228.06,20,1
228.0,18,1
560.67,13,1
293.28,15,1
191.13,20,1
163.28,10,1
412.99,9,1
780.13,7,1
120.4,18,1
1343.67,1,1
272.9,17,1
1706.83,1,1
126.88,14,1
74.94,20,1
133.49,16,1
417.08,4,1
551.74,17,1
245.47,18,1
3316.33,1,1
375.22,16,1
188.44,19,1
496.53,15,1
324.68,20,1
111.19,19,1
2915.68,5,1
125.6,16,1
1957.8,7,1
1418.83,2,1
513.39,21,1
321.81,19,1
215.93,18,1
538.6,22,1
127.11,11,1
253.19,18,1
164.72,23,1
786.93,15,1
241.74,2,1
162.86,15,1
139.81,9,1
43.4,20,1
530.77,18,1
923.77,21,1
140.19,3,1
1510.33,1,1
103.8,19,1
123.56,17,1
138.1,16,1
1472.4,39,1
205.84,13,1
253.62,16,1
522.93,17,1
460.13,17,1
165.48,22,1
274.14,19,1
296.93,19,1
141.57,23,1
182.97,11,1
256.13,27,1
420.0,21,1
578.04,18,1
2173.83,1,1
336.74,6,1
313.8,20,1
1355.83,4,1
211.39,19,1
362.67,14,1
1346.67,5,1
876.0,19,1
1236.0,5,1
176.05,15,1
250.72,21,1
235.0,18,1
156.76,19,1
172.41,18,1
180.61,19,1
178.97,20,1
284.78,18,1
193.16,7,1
1767.0,3,1
145.43,20,1
135.45,12,1
287.06,19,1
188.64,18,1
294.17,19,1
194.74,20,1
735.19,15,1
131.87,18,1
156.88,15,1
156.44,21,1
160.63,17,1
1215.5,1,1
278.57,19,1
409.76,21,1
2501.63,10,1
196.44,15,1
173.42,16,1
638.87,23,1
245.03,10,1
399.24,15,1
86.51,23,1
2173.5,1,1
1894.5,1,1
275.77,20,1
208.16,12,1
329.95,19,1
320.16,20,1
2068.73,9,1
1901.17,2,1
3421.33,4,1
370.61,18,1
283.71,17,1
327.24,8,1
3478.17,6,1
115.36,11,1
1934.33,2,1
184.37,19,1
177.16,18,1
577.14,14,1
351.15,17,1
2236.65,3,1
288.57,13,1
238.51,21,1
3812.47,1,1
201.7,20,1
212.21,12,1
-140.96,25,-1
159.27,7,1
1462.5,8,1
165.81,9,1
118.15,15,1
614.05,15,1
179.75,18,1
340.08,16,1
2920.83,2,1
125.87,7,1
325.45,6,1
1858.8,18,1
102.59,16,1
223.97,17,1
493.66,15,1
135.77,38,1
312.42,17,1
860.67,20,1
1457.67,3,1
301.95,15,1
1998.17,6,1
129.96,17,1
2346.07,6,1
2081.07,20,1
4552.83,4,1
142.73,19,1
2501.5,1,1
203.67,17,1
134.89,21,1
3406.0,4,1
1860.14,4,1
233.71,18,1
156.67,19,1
188.24,15,1
174.74,16,1
271.77,21,1
163.07,19,1
134.47,15,1
163.79,18,1
405.92,15,1
268.13,4,1
308.83,17,1
301.55,13,1
159.07,19,1
3258.33,1,1
290.17,19,1
132.19,26,1
599.96,18,1
199.96,19,1
230.06,15,1
479.09,22,1
1516.5,4,1
129.0,19,1
168.93,20,1
519.57,4,1
304.13,15,1
2063.6,9,1
1687.17,1,1
1353.5,2,1
332.0,20,1
748.93,25,1
144.87,17,1
409.83,19,1
136.67,17,1
146.63,11,1
790.67,18,1
203.22,15,1
232.9,17,1
414.27,18,1
98.21,32,1
3917.5,6,1
322.77,7,1
2621.23,2,1
243.55,22,1
371.52,19,1
402.03,35,1
306.97,21,1
477.5,18,1
1842.0,2,1
250.4,39,1
122.28,18,1
173.85,21,1
211.66,25,1
143.09,19,1
156.23,23,1
121.04,21,1
273.12,11,1
1932.17,8,1
2968.83,7,1
282.68,21,1
402.69,15,1
1730.0,2,1
501.7,22,1
2485.0,1,1
2522.0,9,1
423.83,20,1
388.7,23,1
107.35,4,1
470.94,4,1
613.56,14,1
554.0,6,1
1269.0,5,1
119.73,9,1
306.73,16,1
255.75,20,1
166.03,18,1
2034.5,1,1
143.31,18,1
113.95,5,1
350.22,20,1
148.53,22,1
290.97,11,1
1634.5,2,1
258.67,4,1
100.61,15,1
376.93,24,1
212.35,19,1
419.69,18,1
1267.0,1,1
342.37,4,1
2171.83,5,1
354.57,19,1
3411.83,10,1
330.87,21,1
224.0,18,1
270.05,9,1
1145.67,8,1
198.15,20,1
93.17,16,1
107.77,18,1
2538.12,5,1
367.33,21,1
1124.83,1,1
233.27,17,1
1380.0,5,1
224.88,19,1
398.9,17,1
175.1,15,1
301.09,15,1
255.63,16,1
237.67,18,1
573.73,22,1
444.17,5,1
141.22,18,1
77.73,19,1
2196.13,1,1
125.93,21,1
706.4,18,1
141.5,21,1
88.09,17,1
1574.0,27,1
1695.83,3,1
260.14,3,1
1210.83,8,1
341.86,17,1
294.02,8,1
2115.97,9,1
304.06,17,1
158.82,16,1
1740.05,4,1
289.13,21,1
167.11,17,1
115.44,1,1
1605.67,1,1
172.71,18,1
533.45,17,1
140.38,17,1
387.86,18,1
320.2,20,1
372.41,11,1
1426.97,9,1
350.81,18,1
177.05,5,1
338.0,1,1
200.57,20,1
269.12,22,1
146.17,18,1
98.12,8,1
291.86,21,1
261.92,9,1
1023.25,2,1
230.5,21,1
180.67,23,1
133.69,20,1
169.96,24,1
426.43,20,1
635.1,22,1
1652.0,2,1
278.74,20,1
2478.5,1,1
231.24,15,1
234.57,19,1
218.85,16,1
155.16,6,1
1969.5,6,1
223.95,9,1
139.17,3,1
3371.12,5,1
213.25,19,1
106.08,20,1
419.44,13,1
250.15,21,1
514.83,21,1
2377.18,1,1
1345.28,16,1
238.95,11,1
91.69,13,1
479.48,9,1
124.17,6,1
330.05,3,1
128.28,19,1
268.46,5,1
706.26,22,1
2115.53,1,1
1533.17,1,1
459.79,18,1
2190.67,2,1
119.92,18,1
388.97,16,1
132.77,15,1
1516.0,1,1
1758.5,4,1
270.97,17,1
760.93,15,1
1656.17,4,1
252.67,15,1
1400.75,3,1
152.1,17,1
364.15,23,1
210.95,11,1
172.03,20,1
220.57,1,1
179.34,16,1
1280.17,5,1
407.49,19,1
385.02,19,1
585.42,16,1
184.59,17,1
183.71,3,1
4066.67,7,1
1797.83,6,1
105.33,4,1
536.39,19,1
133.88,18,1
325.21,9,1
181.75,15,1
327.17,22,1
298.24,20,1
607.9,21,1
97.12,17,1
2875.82,3,1
237.6,20,1
300.9,8,1
408.96,18,1
228.13,15,1
146.84,12,1
335.29,20,1
298.04,21,1
668.4,8,1
256.25,15,1
200.83,17,1
1817.5,8,1
172.1,8,1
2184.13,20,1
332.24,24,1
720.55,17,1
419.07,15,1
3126.5,6,1
227.51,17,1
314.64,20,1
332.03,5,1
380.09,19,1
180.72,15,1
2001.5,2,1
2300.13,4,1
115.23,17,1
218.5,21,1
159.7,21,1
162.88,19,1
234.59,13,1
631.03,17,1
5063.28,5,1
179.2,8,1
101.44,18,1
562.08,11,1
210.6,20,1
204.83,22,1
492.9,17,1
397.53,22,1
235.09,24,1
332.39,20,1
211.64,19,1
172.08,15,1
171.1,16,1
466.15,21,1
543.81,16,1
639.63,15,1
365.04,9,1
504.42,18,1
1654.12,23,1
324.76,16,1
317.55,12,1
324.7,19,1
339.45,27,1
692.33,18,1
3278.83,6,1
2660.67,1,1
314.57,18,1
1641.33,1,1
1475.5,2,1
318.59,20,1
1295.02,3,1
2631.0,3,1
326.17,23,1
210.9,20,1
307.15,20,1
436.33,20,1
249.12,16,1
136.18,10,1
1302.17,2,1
239.89,16,1
144.3,17,1
197.66,18,1
143.28,4,1
352.8,12,1
193.2,5,1
480.67,19,1
1475.73,5,1
51.28,6,1
241.3,21,1
505.2,19,1
400.02,20,1
749.47,15,1
193.11,2,1
4431.96,1,1
502.97,21,1
1691.0,5,1
1350.0,18,1
186.61,19,1
2219.67,3,1
137.48,6,1
544.67,5,1
1353.56,7,1
3374.15,3,1
149.73,17,1
153.85,18,1
192.05,18,1
275.57,8,1
274.27,9,1
1659.0,4,1
381.81,10,1
228.91,21,1
97.23,12,1
1081.83,5,1
42.99,14,1
4314.48,3,1
2407.17,5,1
2271.17,1,1
6188.87,2,1
239.12,19,1
2011.17,4,1
590.13,19,1
2070.33,7,1
245.49,19,1
1616.33,2,1
176.63,19,1
925.95,19,1
2999.2,1,1
651.6,17,1
146.73,6,1
1443.0,1,1
113.88,10,1
268.49,17,1
658.5,18,1
385.73,4,1
265.18,10,1
390.96,21,1
381.98,20,1
2241.5,4,1
401.99,19,1
404.17,20,1
875.98,4,1
234.67,10,1
2953.17,1,1
196.57,19,1
2179.23,3,1
176.65,24,1
289.13,21,1
206.86,19,1
1563.5,3,1
461.93,16,1
153.19,19,1
277.14,19,1
259.3,20,1
772.27,12,1
360.47,9,1
3883.17,4,1
2503.33,6,1
475.67,20,1
1243.87,24,1
227.43,17,1
2898.33,5,1
222.84,8,1
150.3,19,1
241.52,25,1
1342.17,5,1
196.5,21,1
153.52,24,1
314.63,20,1
1861.5,6,1
698.8,18,1
1245.17,4,1
252.08,19,1
1530.17,1,1
221.94,22,1
211.71,19,1
1922.83,9,1
187.49,19,1
1579.33,6,1
1804.0,1,1
206.72,17,1
298.67,15,1
124.76,17,1
178.55,18,1
266.26,5,1
194.19,26,1
871.52,17,1
208.15,19,1
274.06,18,1
2045.05,4,1
232.08,17,1
112.4,16,1
255.56,18,1
467.34,1,1
2813.33,4,1
390.63,14,1
547.66,17,1
316.05,18,1
2217.67,5,1
100.15,16,1
134.27,19,1
255.18,8,1
1668.13,1,1
1461.17,1,1
160.48,18,1
212.97,16,1
321.62,12,1
364.86,7,1
4558.88,10,1
1237.83,1,1
2928.68,1,1
454.63,22,1
1569.5,1,1
412.97,9,1
194.03,6,1
2650.17,9,1
145.5,20,1
205.16,24,1
419.89,17,1
305.33,19,1
130.43,17,1
253.62,24,1
293.76,20,1
445.79,9,1
214.88,17,1
314.88,17,1
178.74,16,1
176.61,16,1
178.59,22,1
684.16,17,1
118.81,21,1
198.01,6,1
591.73,20,1
2615.0,5,1
1770.33,2,1
3387.8,5,1
467.9,22,1
1236.04,1,1
241.87,19,1
637.35,18,1
137.2,19,1
236.97,20,1
191.26,22,1
1068.6,1,1
303.84,25,1
793.47,16,1
822.02,21,1
123.15,18,1
209.4,22,1
2058.83,2,1
715.0,15,1
270.79,15,1
195.65,17,1
1801.5,1,1
226.21,21,1
199.56,24,1
229.85,19,1
664.79,8,1
233.5,12,1
98.63,21,1
2054.0,1,1
3716.5,7,1
284.11,16,1
4493.67,8,1
189.79,19,1
4903.17,1,1
310.94,23,1
231.94,18,1
1517.47,18,1
340.91,18,1
241.62,13,1
184.2,18,1
1831.5,6,1
546.13,16,1
278.17,11,1
1826.07,5,1
384.32,16,1
2166.5,1,1
1171.33,1,1
236.62,18,1
1732.99,18,1
226.74,21,1
256.83,20,1
122.49,7,1
2164.17,7,1
219.2,25,1
195.07,19,1
344.52,16,1
88.84,24,1
205.21,23,1
4732.0,12,1
1286.88,17,1
1213.83,4,1
146.69,17,1
158.11,16,1
127.08,16,1
470.23,17,1
381.03,20,1
308.52,1,1
242.34,18,1
2128.71,35,1
2219.0,3,1
2839.2,11,1
288.48,15,1
941.13,21,1
87.15,20,1
1512.83,1,1
323.64,23,1
153.71,17,1
187.15,18,1
157.39,11,1
1755.33,1,1
2986.5,8,1
1508.5,3,1
234.15,15,1
1280.24,22,1
545.24,4,1
1636.92,7,1
252.72,15,1
377.3,19,1
673.8,23,1
835.87,8,1
442.62,21,1
213.35,16,1
1825.67,1,1
1532.67,10,1
416.25,17,1
274.4,5,1
650.12,14,1
196.08,11,1
273.47,10,1
145.81,15,1
531.89,5,1
311.65,20,1
137.39,18,1
368.83,19,1
193.89,15,1
166.11,20,1
418.53,18,1
236.93,19,1
236.11,20,1
4414.83,1,1
125.01,17,1
439.92,16,1
179.64,20,1
205.85,17,1
169.85,11,1
476.17,16,1
156.04,17,1
4930.0,13,1
757.53,3,1
534.6,25,1
3775.83,1,1
193.47,5,1
161.35,12,1
2753.83,4,1
266.08,3,1
580.67,21,1
236.89,17,1
297.68,23,1
1292.55,5,1
213.71,2,1
351.49,11,1
117.05,14,1
131.44,21,1
412.95,21,1
203.43,21,1
196.1,3,1
83.24,22,1
139.68,20,1
188.35,7,1
583.42,7,1
224.69,17,1
263.52,18,1
1513.83,3,1
152.55,13,1
278.46,8,1
354.63,18,1
236.11,17,1
371.64,17,1
221.57,18,1
209.39,20,1
2101.02,4,1
277.53,3,1
311.73,24,1
4650.83,8,1
1276.93,6,1
238.13,23,1
346.78,20,1
1347.87,26,1
1801.58,1,1
2051.83,7,1
450.19,23,1
972.92,5,1
167.16,17,1
401.07,17,1
2591.12,4,1
310.64,16,1
321.03,15,1
394.4,15,1
217.61,9,1
302.27,16,1
234.13,19,1
140.45,15,1
289.93,16,1
207.3,18,1
4725.33,1,1
235.66,15,1
2903.0,1,1
226.99,20,1
413.28,18,1
346.66,14,1
439.31,1,1
243.5,21,1
235.59,8,1
323.07,22,1
216.51,22,1
1416.17,3,1
1717.17,5,1
167.9,22,1
122.27,15,1
1930.67,11,1
221.76,21,1
1032.0,6,1
795.71,19,1
279.5,17,1
1504.67,6,1
226.19,19,1
208.9,20,1
822.4,18,1
432.0,22,1
149.85,11,1
524.3,19,1
1266.17,1,1
805.98,12,1
152.59,21,1
429.69,19,1
3185.0,5,1
160.15,11,1
405.39,23,1
269.38,24,1
322.78,16,1
120.28,5,1
206.56,16,1
1247.83,11,1
1886.5,33,1
85.84,24,1
160.13,18,1
203.83,33,1
111.24,13,1
164.99,20,1
377.63,25,1
195.79,15,1
152.93,21,1
225.08,20,1
1649.67,5,1
216.07,19,1
218.8,15,1
266.93,9,1
1323.83,5,1
568.52,21,1
1755.0,4,1
334.26,9,1
105.52,22,1
3233.33,1,1
186.63,20,1
1435.87,6,1
231.66,18,1
348.19,15,1
572.93,17,1
1925.33,7,1
1001.68,17,1
237.87,16,1
694.12,5,1
103.84,17,1
322.85,15,1
237.99,19,1
366.27,17,1
210.45,8,1
374.5,22,1
160.06,17,1
210.88,20,1
147.3,16,1
211.13,17,1
192.71,17,1
103.47,17,1
358.27,21,1
187.54,23,1
342.61,8,1
302.37,13,1
749.02,22,1
473.67,21,1
310.22,7,1
1330.93,9,1
1020.37,5,1
202.33,18,1
144.07,23,1
175.72,10,1
298.03,21,1
1383.33,4,1
172.38,19,1
1521.0,4,1
231.7,4,1
1023.17,5,1
2491.4,3,1
204.3,11,1
193.57,25,1
